datetime,sessionTime,RRi
220902144928.182,0.040,805.935
220902144929.183,1.040,798.000
220902144930.190,2.040,805.543
220902144931.196,3.060,798.059
220902144932.205,4.060,802.421
220902144933.206,5.060,813.804
220902144934.210,6.060,807.765
220902144935.216,7.060,820.183
220902144936.221,8.080,812.466
220902144937.233,9.080,831.869
220902144938.235,10.080,839.425
220902144939.268,11.120,844.676
220902144940.272,12.120,835.224
220902144941.273,13.120,837.328
220902144942.275,14.120,855.515
220902144943.279,15.140,866.996
220902144944.287,16.140,878.350
220902144945.296,17.140,889.097
220902144946.299,18.160,884.512
220902144947.300,19.160,891.554
220902144948.303,20.160,886.190
220902144949.314,21.160,888.386
220902144950.309,22.160,882.700
