datetime,sessionTime,HR
220902152302.269,0.480,71
220902152303.278,1.480,71
220902152304.286,2.500,70
220902152305.293,3.500,70
220902152306.297,4.500,70
220902152307.299,5.500,70
220902152308.318,6.520,70
220902152309.327,7.540,70
220902152310.328,8.540,70
220902152311.343,9.560,70
220902152312.353,10.560,70
220902152313.353,11.560,70
220902152314.361,12.580,70
220902152315.361,13.580,71
220902152316.364,14.580,71
220902152317.366,15.580,71
220902152318.369,16.580,71
220902152319.370,17.580,70
220902152320.373,18.580,70
220902152321.377,19.580,70
220902152322.392,20.600,70
220902152323.396,21.600,70
220902152324.412,22.620,70
220902152325.416,23.620,70
220902152326.431,24.640,70
220902152327.446,25.660,70
220902152328.450,26.660,70
220902152329.477,27.680,69
220902152330.484,28.700,69
220902152331.485,29.700,69
220902152332.504,30.720,69
220902152333.509,31.720,68
220902152334.511,32.720,69
220902152335.511,33.720,69
220902152336.516,34.720,68
220902152337.520,35.720,69
220902152338.522,36.740,69
220902152339.527,37.740,69
220902152340.533,38.740,70
220902152341.543,39.760,71
220902152342.547,40.760,71
