datetime,sessionTime,RMSSD
220902152311.343,0.480,4.763
220902152311.343,1.480,4.763
220902152312.353,2.500,5.019
220902152313.353,3.500,4.497
220902152314.361,4.500,5.043
220902152315.362,5.500,7.700
220902152316.364,6.520,7.313
220902152317.366,7.540,9.094
220902152318.369,8.540,10.382
220902152319.370,9.560,11.536
220902152320.373,10.560,11.445
220902152321.378,11.560,11.539
220902152322.392,12.580,11.539
220902152323.396,13.580,11.734
220902152324.413,14.580,10.132
220902152325.416,15.580,10.251
220902152326.432,16.580,8.747
220902152327.446,17.580,7.212
220902152328.451,18.580,5.836
220902152329.477,19.580,6.284
220902152330.484,20.600,6.127
220902152331.485,21.600,6.171
220902152332.505,22.620,5.720
220902152333.510,23.620,9.105
220902152334.511,24.640,9.305
220902152335.511,25.660,9.231
220902152336.516,26.660,9.573
220902152337.520,27.680,9.638
220902152338.523,28.700,9.297
220902152339.527,29.700,10.728
220902152340.533,30.720,11.392
220902152341.543,31.720,12.626
220902152342.548,32.720,10.415
