datetime,sessionTime,RRi
220902152302.269,0.480,771.788
220902152303.279,1.480,773.480
220902152304.286,2.500,780.652
220902152305.294,3.500,778.647
220902152306.297,4.500,783.637
220902152307.299,5.500,791.314
220902152308.318,6.520,788.531
220902152309.327,7.540,786.325
220902152310.329,8.540,790.598
220902152311.343,9.560,796.179
220902152312.353,10.560,791.138
220902152313.353,11.560,793.737
220902152314.361,12.580,786.603
220902152315.361,13.580,768.449
220902152316.364,14.580,765.854
220902152317.366,15.580,749.402
220902152318.369,16.580,764.591
220902152319.370,17.580,780.269
220902152320.373,18.580,783.776
220902152321.377,19.580,777.080
220902152322.392,20.600,779.691
220902152323.396,21.600,789.274
220902152324.412,22.620,793.051
220902152325.416,23.620,798.401
220902152326.432,24.640,794.742
220902152327.446,25.660,791.541
220902152328.450,26.660,800.716
220902152329.477,27.680,808.536
220902152330.484,28.700,813.764
220902152331.485,29.700,810.344
220902152332.504,30.720,816.945
220902152333.510,31.720,838.531
220902152334.511,32.720,830.670
220902152335.511,33.720,831.650
220902152336.516,34.720,839.908
220902152337.520,35.720,830.140
220902152338.522,36.740,828.402
220902152339.527,37.740,811.516
220902152340.533,38.740,799.516
220902152341.543,39.760,781.899
220902152342.548,40.760,779.180
