datetime,sessionTime,ExciteOMeter
220902150426.250,0.440,0.31310
220902150426.250,1.440,0.17149
220902150426.250,2.440,0.55818
220902150426.250,3.440,0.59213
220902150426.250,4.440,0.04209
220902150426.250,5.440,0.25120
220902150426.250,6.460,0.14585
220902150426.250,7.460,0.37326
220902150426.250,8.460,0.65897
220902150426.250,9.460,0.84835
220902150426.251,10.460,0.82395
220902150426.251,11.480,0.53417
220902150426.251,12.480,0.85636
220902150426.251,13.480,0.73103
220902150426.251,14.480,0.78723
220902150426.251,15.540,0.53041
220902150426.251,16.540,0.63912
