datetime,sessionTime,RMSSD
220902150418.637,0.440,9.095
220902150418.637,1.440,9.095
220902150419.637,2.440,8.564
220902150420.642,3.440,8.822
220902150421.645,4.440,10.060
220902150422.649,5.440,9.649
220902150423.650,6.460,9.210
220902150424.701,7.460,9.225
220902150425.704,8.460,8.588
220902150426.249,9.460,8.588
220902150426.249,10.460,8.588
220902150426.249,11.480,8.588
220902150426.249,12.480,8.588
220902150426.249,13.480,8.588
220902150426.249,14.480,8.588
220902150426.249,15.540,8.588
220902150426.249,16.540,8.588
