datetime,sessionTime,RRi
220902150409.605,0.440,808.431
220902150410.609,1.440,817.906
220902150411.610,2.440,807.825
220902150412.615,3.440,802.858
220902150413.617,4.440,814.724
220902150414.616,5.440,805.729
220902150415.619,6.460,815.387
220902150416.619,7.460,804.558
220902150417.627,8.460,803.983
220902150418.637,9.460,794.191
220902150419.637,10.460,796.490
220902150420.642,11.480,808.410
220902150421.645,12.480,793.081
220902150422.648,13.480,801.322
220902150423.649,14.480,798.775
220902150424.701,15.540,808.556
220902150425.704,16.540,804.672
