datetime,sessionTime,RRi
220902161942.336,0.600,919.928
220902161943.339,1.600,922.509
220902161944.350,2.620,909.482
220902161945.352,3.620,896.175
220902161946.356,4.620,898.482
220902161947.368,5.640,894.647
220902161948.372,6.640,901.453
220902161949.377,7.640,916.939
220902161950.381,8.640,907.862
220902161951.383,9.640,891.409
220902161952.387,10.640,889.764
220902161953.388,11.660,883.351
220902161954.389,12.660,888.902
220902161955.391,13.660,874.521
220902161956.394,14.660,876.272
220902161957.397,15.660,888.883
220902161958.400,16.660,887.036
220902161959.400,17.660,885.026
220902162000.403,18.660,878.775
220902162001.407,19.680,870.635
220902162002.411,20.680,869.586
220902162003.412,21.680,861.233
220902162004.414,22.680,870.971
220902162005.420,23.680,863.038
220902162006.420,24.680,845.889
220902162007.422,25.680,844.932
220902162008.428,26.700,835.463
220902162009.443,27.700,815.777
220902162010.444,28.700,823.648
220902162011.446,29.720,838.123
220902162012.450,30.720,845.290
220902162013.452,31.720,845.213
220902162014.454,32.720,860.801
220902162015.459,33.720,850.107
220902162016.460,34.720,857.187
220902162017.461,35.720,859.689
220902162018.464,36.720,874.499
220902162019.468,37.740,888.685
220902162020.470,38.740,890.189
220902162021.472,39.740,899.742
220902162022.475,40.740,900.381
220902162023.477,41.740,906.195
220902162024.478,42.740,905.237
220902162025.480,43.740,918.319
220902162026.485,44.740,917.222
220902162027.486,45.760,918.118
220902162028.489,46.760,910.849
220902162029.494,47.760,903.922
220902162030.495,48.760,910.328
220902162031.496,49.760,895.081
220902162032.497,50.760,904.264
220902162033.501,51.760,899.101
220902162034.508,52.780,885.999
220902162035.520,53.780,889.093
220902162036.523,54.780,887.891
220902162037.527,55.800,898.262
220902162038.527,56.800,886.106
220902162039.530,57.800,896.919
220902162040.533,58.800,897.078
220902162041.535,59.800,877.488
220902162042.537,60.800,882.054
220902162043.540,61.800,887.062
220902162044.544,62.800,890.233
220902162045.545,63.800,872.925
220902162046.550,64.820,867.106
220902162047.561,65.820,861.687
220902162048.566,66.820,860.845
220902162049.569,67.840,847.207
220902162050.571,68.840,839.510
220902162051.575,69.840,827.811
220902162052.577,70.840,823.439
220902162053.578,71.840,837.708
220902162054.582,72.840,828.631
220902162055.586,73.840,816.993
220902162056.587,74.860,830.249
220902162057.592,75.860,831.718
220902162058.593,76.860,821.549
220902162059.594,77.860,834.016
220902162100.595,78.860,850.888
220902162101.598,79.860,868.718
220902162102.602,80.860,866.602
220902162103.603,81.860,863.944
220902162104.607,82.880,862.098
220902162105.610,83.880,864.934
220902162106.611,84.880,868.281
220902162107.611,85.880,870.432
220902162108.616,86.880,881.273
220902162109.622,87.880,893.744
220902162110.636,88.900,893.421
220902162111.637,89.900,902.460
220902162112.658,90.920,904.472
220902162113.654,91.920,923.705
220902162114.657,92.920,915.963
220902162115.661,93.920,902.910
220902162116.665,94.920,898.717
