datetime,sessionTime,RMSSD
220902161951.383,0.600,10.608
220902161951.383,1.600,10.608
220902161952.387,2.620,10.587
220902161953.388,3.620,9.889
220902161954.389,4.620,9.030
220902161955.391,5.640,10.195
220902161956.394,6.640,10.131
220902161957.397,7.640,10.731
220902161958.400,8.640,9.428
220902161959.400,9.640,8.955
220902162000.403,10.640,7.379
220902162001.407,11.660,7.843
220902162002.411,12.660,7.554
220902162003.412,13.660,7.836
220902162004.414,14.660,6.997
220902162005.420,15.660,7.457
220902162006.420,16.660,8.403
220902162007.422,17.660,8.387
220902162008.428,18.660,8.936
220902162009.443,19.680,10.889
220902162010.444,20.680,10.867
220902162011.446,21.680,11.885
220902162012.450,22.680,11.799
220902162013.452,23.680,11.343
220902162014.454,24.680,12.193
220902162015.459,25.680,11.345
220902162016.460,26.700,11.583
220902162017.461,27.700,11.176
220902162018.464,28.700,10.306
220902162019.468,29.720,11.032
220902162020.470,30.720,9.933
220902162021.472,31.720,10.154
220902162022.475,32.720,10.156
220902162023.477,33.720,8.939
220902162024.478,34.720,8.203
220902162025.480,35.720,8.985
220902162026.485,36.720,8.954
220902162027.486,37.740,7.476
220902162028.489,38.740,6.277
220902162029.494,39.740,6.670
220902162030.495,40.740,6.237
220902162031.496,41.740,8.043
220902162032.497,42.740,8.385
220902162033.501,43.740,8.553
220902162034.508,44.740,8.557
220902162035.520,45.760,8.611
220902162036.523,46.760,8.615
220902162037.527,47.760,8.961
220902162038.527,48.760,9.560
220902162039.530,49.760,9.991
220902162040.533,50.760,8.602
220902162041.535,51.760,10.357
220902162042.537,52.780,10.325
220902162043.540,53.780,9.504
220902162044.544,54.780,9.507
220902162045.545,55.800,11.113
220902162046.550,56.800,10.739
220902162047.561,57.800,10.108
220902162048.567,58.800,9.447
220902162049.569,59.800,10.484
220902162050.571,60.800,8.594
220902162051.575,61.800,9.314
220902162052.577,62.800,9.278
220902162053.578,63.800,10.373
220902162054.582,64.820,9.136
220902162055.586,65.820,9.734
220902162056.587,66.820,10.536
220902162057.592,67.840,10.544
220902162058.593,68.840,10.100
220902162059.594,69.840,10.616
220902162100.595,70.840,11.363
220902162101.598,71.840,12.740
220902162102.602,72.840,11.840
220902162103.603,73.840,11.481
220902162104.607,74.860,10.823
220902162105.610,75.860,9.925
220902162106.611,76.860,9.976
220902162107.611,77.860,9.409
220902162108.616,78.860,9.183
220902162109.622,79.860,8.365
220902162110.636,80.860,5.888
220902162111.637,81.860,6.576
220902162112.658,82.880,6.551
220902162113.654,83.880,9.145
220902162114.657,84.880,9.455
220902162115.661,85.880,10.348
220902162116.665,86.880,10.418
