datetime,sessionTime,HR
220902161942.336,0.600,66
220902161943.339,1.600,66
220902161944.350,2.620,67
220902161945.352,3.620,67
220902161946.355,4.620,67
220902161947.368,5.640,67
220902161948.372,6.640,67
220902161949.377,7.640,66
220902161950.380,8.640,67
220902161951.383,9.640,67
220902161952.387,10.640,68
220902161953.388,11.660,68
220902161954.389,12.660,68
220902161955.391,13.660,68
220902161956.394,14.660,68
220902161957.397,15.660,68
220902161958.400,16.660,68
220902161959.400,17.660,68
220902162000.403,18.660,68
220902162001.407,19.680,68
220902162002.411,20.680,69
220902162003.412,21.680,69
220902162004.414,22.680,68
220902162005.420,23.680,69
220902162006.420,24.680,69
220902162007.422,25.680,69
220902162008.428,26.700,70
220902162009.443,27.700,71
220902162010.444,28.700,70
220902162011.446,29.720,70
220902162012.450,30.720,70
220902162013.452,31.720,70
220902162014.454,32.720,69
220902162015.458,33.720,70
220902162016.460,34.720,69
220902162017.461,35.720,69
220902162018.464,36.720,69
220902162019.468,37.740,68
220902162020.470,38.740,68
220902162021.472,39.740,68
220902162022.475,40.740,68
220902162023.477,41.740,67
220902162024.478,42.740,67
220902162025.480,43.740,67
220902162026.484,44.740,67
220902162027.486,45.760,67
220902162028.489,46.760,67
220902162029.494,47.760,68
220902162030.495,48.760,67
220902162031.496,49.760,68
220902162032.497,50.760,67
220902162033.501,51.760,67
220902162034.507,52.780,68
220902162035.520,53.780,68
220902162036.523,54.780,68
220902162037.527,55.800,67
220902162038.527,56.800,67
220902162039.530,57.800,67
220902162040.533,58.800,67
220902162041.535,59.800,68
220902162042.537,60.800,68
220902162043.539,61.800,67
220902162044.544,62.800,67
220902162045.545,63.800,68
220902162046.550,64.820,68
220902162047.561,65.820,68
220902162048.566,66.820,68
220902162049.569,67.840,69
220902162050.571,68.840,69
220902162051.575,69.840,70
220902162052.577,70.840,70
220902162053.578,71.840,69
220902162054.582,
