datetime,sessionTime,HR
220902142716.668,0.720,71
220902142717.673,1.720,71
220902142718.676,2.720,71
220902142719.688,3.740,71
220902142720.692,4.740,71
220902142721.693,5.740,72
220902142722.696,6.740,71
220902142723.698,7.740,71
220902142724.701,8.740,71
220902142725.704,9.760,71
220902142726.707,10.760,71
220902142727.710,11.760,71
220902142728.712,12.760,71
220902142729.713,13.760,71
220902142730.720,14.760,71
220902142731.719,15.760,71
220902142732.720,16.760,71
220902142733.723,17.760,71
220902142734.727,18.780,71
220902142735.731,19.780,71
220902142736.732,20.780,70
220902142737.733,21.780,71
220902142738.735,22.780,71
220902142739.739,23.780,71
220902142740.742,24.780,71
220902142741.744,25.800,72
220902142742.746,26.800,71
220902142743.748,27.800,71
220902142744.755,28.800,71
