datetime,sessionTime,RMSSD
220902142725.705,0.720,8.115
220902142725.705,1.720,8.115
220902142726.707,2.720,8.064
220902142727.710,3.740,8.022
220902142728.712,4.740,8.303
220902142729.713,5.740,8.685
220902142730.720,6.740,7.984
220902142731.719,7.740,7.017
220902142732.720,8.740,6.691
220902142733.723,9.760,7.485
220902142734.727,10.760,7.162
220902142735.732,11.760,8.386
220902142736.732,12.760,8.577
220902142737.734,13.760,10.891
220902142738.735,14.760,10.613
220902142739.739,15.760,10.510
220902142740.742,16.760,12.121
220902142741.744,17.760,12.379
220902142742.746,18.780,11.003
220902142743.748,19.780,11.247
220902142744.755,20.780,10.378
