datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902142718.448,2.500,-2.0409,1.2786,-2.0185,0.9896,-0.1160,0.0826,0.0185,346.5488,9.4199,1.0338
220902142718.546,2.600,-2.0406,1.2786,-2.0180,0.9899,-0.1156,0.0795,0.0184,346.5970,9.0575,1.0629
220902142718.646,2.700,-2.0398,1.2773,-2.0175,0.9913,-0.1080,0.0733,0.0174,347.4837,8.3344,1.0962
220902142718.755,2.800,-2.0367,1.2718,-2.0143,0.9951,-0.0804,0.0545,0.0168,350.6892,6.1511,1.4289
220902142718.852,2.900,-2.0341,1.2666,-2.0103,0.9983,-0.0486,0.0281,0.0160,354.3797,3.1434,1.6833
220902142718.948,3.000,-2.0321,1.2615,-2.0085,0.9995,-0.0247,0.0132,0.0149,357.1496,1.4710,1.6727
220902142719.053,3.100,-2.0299,1.2539,-2.0073,0.9997,0.0193,0.0028,0.0139,2.2052,0.3511,1.5956
220902142719.144,3.200,-2.0291,1.2496,-2.0032,0.9988,0.0425,-0.0190,0.0169,4.9038,357.8945,1.8506
220902142719.255,3.300,-2.0339,1.2436,-1.9921,0.9944,0.0768,-0.0705,0.0172,8.9210,351.9938,1.3597
220902142719.353,3.400,-2.0424,1.2404,-1.9802,0.9852,0.0886,-0.1439,0.0280,10.5258,343.5349,1.7258
220902142719.450,3.500,-2.0605,1.2398,-1.9711,0.9709,0.0839,-0.2231,0.0214,9.9314,334.1342,0.2406
220902142719.548,3.600,-2.0820,1.2370,-1.9682,0.9574,0.0885,-0.2737,0.0244,10.5363,328.0829,359.9037
220902142719.647,3.700,-2.1038,1.2317,-1.9718,0.9493,0.1022,-0.2959,0.0303,12.2349,325.3592,359.8268
220902142719.746,3.800,-2.1196,1.2309,-1.9763,0.9487,0.0979,-0.2995,0.0270,11.6512,324.9201,359.5716
220902142719.856,3.900,-2.1327,1.2354,-1.9789,0.9480,0.0719,-0.3096,0.0192,8.5190,323.7949,359.5263
220902142719.953,4.000,-2.1303,1.2369,-1.9926,0.9667,0.0724,-0.2455,0.0025,8.1166,331.3772,358.2190
220902142720.050,4.100,-2.1176,1.2374,-2.0341,0.9966,0.0775,-0.0245,-0.0148,8.8421,357.0308,358.0639
220902142720.146,4.200,-2.1265,1.2350,-2.0771,0.9675,0.0766,0.2387,-0.0323,9.4236,27.5955,358.4963
220902142720.243,4.300,-2.1459,1.2320,-2.0996,0.9077,0.0789,0.4093,-0.0486,10.5451,48.4128,358.6154
220902142720.355,4.400,-2.1594,1.2282,-2.1024,0.8637,0.0912,0.4924,-0.0572,12.3535,59.3205,359.4709
220902142720.453,4.500,-2.1587,1.2254,-2.0982,0.8621,0.0977,0.4932,-0.0636,13.3695,59.4519,359.2187
220902142720.551,4.600,-2.1578,1.2221,-2.0946,0.8574,0.1092,0.4978,-0.0718,15.0019,60.1703,359.1448
220902142720.648,4.700,-2.1582,1.2119,-2.0909,0.8410,0.1385,0.5160,-0.0852,18.7151,63.0558,359.9795
220902142720.746,4.800,-2.1593,1.2049,-2.0853,0.8220,0.1615,0.5383,-0.0920,21.3777,66.6946,1.3846
220902142720.844,4.900,-2.1680,1.2019,-2.0810,0.7935,0.1622,0.5784,-0.0972,21.7086,72.5748,2.0576
220902142720.954,5.000,-2.1864,1.1992,-2.0728,0.7315,0.1734,0.6529,-0.0927,22.0085,84.5920,5.6138
