datetime,sessionTime,RRi
220902162714.752,0.100,807.790
220902162715.757,1.100,807.311
220902162716.760,2.100,817.016
220902162717.772,3.120,835.387
220902162718.775,4.120,853.831
220902162719.779,5.120,864.296
220902162720.783,6.140,881.765
220902162721.785,7.140,890.080
220902162722.788,8.140,896.910
220902162723.791,9.140,920.095
220902162724.790,10.140,916.026
220902162725.793,11.140,925.837
220902162726.795,12.140,916.898
220902162727.799,13.140,911.557
220902162728.804,14.160,909.758
220902162729.805,15.160,898.008
220902162730.807,16.160,889.173
220902162731.812,17.160,897.557
220902162732.813,18.160,905.852
220902162733.814,19.160,921.140
220902162734.818,20.160,923.882
220902162735.821,21.180,917.264
220902162736.825,22.180,925.534
220902162737.839,23.180,929.511
220902162738.840,24.180,927.415
220902162739.843,25.200,941.104
220902162740.845,26.200,928.922
220902162741.847,27.200,930.682
220902162742.851,28.200,924.406
220902162743.856,29.200,924.207
220902162744.856,3
