datetime,sessionTime,HR
220902162714.752,0.100,69
220902162715.757,1.100,69
220902162716.760,2.100,69
220902162717.772,3.120,68
220902162718.775,4.120,68
220902162719.779,5.120,67
220902162720.783,6.140,67
220902162721.785,7.140,67
220902162722.788,8.140,66
220902162723.791,9.140,66
220902162724.790,10.140,66
220902162725.793,11.140,65
220902162726.795,12.140,66
220902162727.798,13.140,66
220902162728.803,14.160,66
220902162729.805,15.160,67
220902162730.807,16.160,67
220902162731.812,17.160,66
220902162732.813,18.160,66
220902162733.814,19.160,66
220902162734.817,20.160,66
220902162735.821,21.180,66
220902162736.825,22.180,66
220902162737.839,23.180,65
220902162738.840,24.180,66
220902162739.843,25.200,65
220902162740.845,26.200,65
220902162741.847,27.200,65
220902162742.851,28.200,66
220902162743.856,29.200,66
220902162744.856,30.200,65
220902162745.859,31.200,66
220902162746.863,32.220,66
220902162747.865,33.220,66
220902162748.867,34.220,66
220902162749.869,35.220,66
220902162750.874,36.220,65
220902162751.874,37.220,66
