datetime,sessionTime,RMSSD
220902162613.752,0.080,5.401
220902162613.752,1.080,5.401
220902162614.754,2.080,6.763
220902162615.758,3.100,6.716
220902162616.759,4.100,6.816
220902162617.761,5.100,8.023
220902162618.764,6.100,9.337
220902162619.766,7.120,9.636
220902162620.770,8.120,11.078
220902162621.771,9.120,10.741
220902162622.773,10.120,10.875
220902162623.777,11.120,10.037
220902162624.778,12.120,10.719
220902162625.782,13.120,10.852
220902162626.783,14.140,9.957
220902162627.787,15.140,8.636
220902162628.788,16.140,8.423
220902162629.790,17.140,7.100
220902162630.794,18.140,7.698
220902162631.798,19.140,7.397
220902162632.800,20.140,7.283
220902162633.804,21.140,7.323
220902162634.806,22.140,7.314
220902162635.809,23.160,8.496
220902162636.813,24.160,8.809
220902162637.830,25.160,9.095
220902162638.830,26.160,9.133
