datetime,sessionTime,HR
220902161122.445,0.620,68
220902161123.448,1.640,69
220902161124.448,2.640,68
220902161125.450,3.640,68
220902161126.454,4.640,68
220902161127.456,5.640,68
220902161128.457,6.640,68
220902161129.458,7.640,68
220902161130.461,8.640,69
220902161131.464,9.640,69
220902161132.465,10.640,69
220902161133.466,11.640,69
220902161134.473,12.660,69
220902161135.472,13.660,68
220902161136.476,14.660,69
220902161137.478,15.660,69
220902161138.482,16.660,69
220902161139.484,17.660,69
220902161140.484,18.660,68
220902161141.490,19.680,68
220902161142.491,20.680,68
220902161143.493,21.680,68
220902161144.498,22.680,67
220902161145.509,23.700,67
220902161146.513,24.700,67
220902161147.515,25.700,67
220902161148.518,26.700,68
220902161149.521,27.700,67
220902161150.524,28.700,67
220902161151.527,29.700,66
220902161152.531,30.720,66
