datetime,sessionTime,RRi
220902161122.445,0.620,829.128
220902161123.448,1.640,813.032
220902161124.448,2.640,819.379
220902161125.450,3.640,817.180
220902161126.454,4.640,816.792
220902161127.456,5.640,817.941
220902161128.457,6.640,827.543
220902161129.458,7.640,811.094
220902161130.461,8.640,796.230
220902161131.464,9.640,788.316
220902161132.466,10.640,792.288
220902161133.466,11.640,798.404
220902161134.473,12.660,806.394
220902161135.472,13.660,816.545
220902161136.476,14.660,803.394
220902161137.479,15.660,794.118
220902161138.482,16.660,808.074
220902161139.485,17.660,804.594
220902161140.485,18.660,814.193
220902161141.490,19.680,833.196
220902161142.491,20.680,833.147
220902161143.493,21.680,833.112
220902161144.498,22.680,843.922
220902161145.509,23.700,851.296
220902161146.513,24.700,834.878
220902161147.515,25.700,835.595
220902161148.518,26.700,826.311
220902161149.521,27.700,836.013
220902161150.524,28.700,858.184
220902161151.527,29.700,877.131
220902161152.531,30.720,870.495
