datetime,sessionTime,RRi
220902160628.820,0.620,641.510
220902160629.822,1.620,650.765
220902160630.832,2.620,652.858
220902160631.835,3.620,658.095
220902160632.838,4.640,646.024
220902160633.840,5.640,650.472
220902160634.845,6.640,652.968
220902160635.848,7.640,660.333
220902160636.848,8.640,660.431
220902160637.851,9.640,655.171
220902160638.856,10.640,644.236
220902160639.857,11.640,636.925
220902160640.858,12.640,635.136
220902160641.861,13.660,636.233
220902160642.864,14.660,638.632
220902160643.873,15.660,633.950
220902160644.871,16.660,629.799
220902160645.871,17.660,621.281
220902160646.875,18.660,611.986
