datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902143156.679,7.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.818,7.480,-1.9732,1.2073,-1.6662,0.9949,-0.0497,0.0687,-0.0537,354.7541,8.2055,353.4414
220902143156.930,7.580,-2.1546,1.4868,-1.4800,0.9457,0.2953,0.1355,0.0031,33.8986,18.1210,5.9463
220902143156.979,7.680,-2.1559,1.4903,-1.4807,0.9474,0.2917,0.1317,0.0067,33.4334,17.6836,6.1542
220902143157.091,7.780,-2.1588,1.4979,-1.4797,0.9514,0.2836,0.1203,-0.0046,32.7333,15.6006,4.0589
220902143157.185,7.880,-2.1624,1.5015,-1.4797,0.9505,0.2909,0.1085,-0.0095,33.7172,13.9615,3.1046
220902143157.283,7.980,-2.1646,1.5090,-1.4790,0.9542,0.2828,0.0964,-0.0175,32.8909,11.9614,1.4460
220902143157.380,8.080,-2.1699,1.5179,-1.4794,0.9574,0.2745,0.0901,-0.0043,31.7594,11.5406,2.7754
220902143157.479,8.180,-2.1770,1.5297,-1.4755,0.9601,0.2681,0.0788,-0.0110,31.0988,9.7843,1.4195
220902143157.591,8.280,-2.1843,1.5440,-1.4727,0.9642,0.2551,0.0722,-0.0099,29.5666,8.8710,1.1669
220902143157.688,8.380,-2.1936,1.5569,-1.4709,0.9649,0.2528,0.0709,-0.0059,29.2516,8.8197,1.6107
220902143157.785,8.480,-2.2015,1.5721,-1.4666,0.9685,0.2422,0.0559,-0.0140,28.0800,6.5999,-0.0033
220902143157.883,8.580,-2.2133,1.5825,-1.4636,0.9650,0.2560,0.0528,-0.0222,29.7602,5.9932,358.9598
220902143157.982,8.680,-2.2242,1.5942,-1.4581,0.9656,0.2552,0.0474,-0.0137,29.6104,5.5833,359.8465
220902143158.081,8.780,-2.2336,1.6026,-1.4531,0.9628,0.2661,0.0433,-0.0148,30.9160,5.0533,359.6340
220902143158.191,8.880,-2.2416,1.6126,-1.4502,0.9619,0.2686,0.0500,-0.0116,31.1849,6.0427,0.3079
220902143158.289,8.980,-2.2459,1.6187,-1.4487,0.9637,0.2625,0.0474,-0.0092,30.4516,5.7661,0.4748
220902143158.385,9.080,-2.2502,1.6220,-1.4488,0.9630,0.2644,0.0518,-0.0122,30.6926,6.2283,0.2636
220902143158.483,9.180,-2.2525,1.6258,-1.4490,0.9638,0.2601,0.0582,-0.0118,30.1800,7.0423,0.4930
220902143158.581,9.280,-2.2552,1.6289,-1.4486,0.9654,0.2541,0.0572,-0.0151,29.4896,6.7749,359.9912
220902143158.679,9.380,-2.2571,1.6321,-1.4486,0.9682,0.2428,0.0582,-0.0166,28.1723,6.8168,359.7485
220902143158.790,9.480,-2.2584,1.6439,-1.4491,0.9772,0.2024,0.0623,-0.0144,23.4194,7.2551,359.8153
220902143158.890,9.580,-2.2635,1.6526,-1.4491,0.9829,0.1701,0.0709,-0.0061,19.5898,8.3757,0.7380
220902143158.985,9.680,-2.2707,1.6615,-1.4457,0.9866,0.1461,0.0722,-0.0031,16.7782,8.5049,0.8930
220902143159.083,9.780,-2.2800,1.6645,-1.4414,0.9864,0.1479,0.0724,-0.0016,16.9734,8.5553,1.0940
220902143159.181,9.880,-2.2929,1.6609,-1.4410,0.9795,0.1761,0.0982,0.0001,20.1833,11.8236,2.1210
220902143159.277,9.980,-2.3122,1.6461,-1.4454,0.9478,0.2725,0.1653,-0.0030,31.1727,21.3644,5.6655
220902143159.390,10.080,-2.3255,1.6335,-1.4447,0.9253,0.3184,0.2054,0.0160,35.6422,28.6937,11.3768
220902143159.488,10.180,-2.3351,1.6246,-1.4369,0.9220,0.3434,0.1789,-0.0043,39.3951,25.0344,8.5599
220902143159.583,10.280,-2.3470,1.6169,-1.4350,0.9165,0.3546,0.1849,-0.0053,40.6871,26.2334,9.2136
220902143159.681,10.380,-2.3587,1.6077,-1.4395,0.9054,0.3756,0.1976,-0.0098,43.1562,28.7086,10.3242
220902143159.780,10.480,-2.3678,1.6024,-1.4502,0.8920,0.3981,0.2134,-0.0184,45.8925,31.7269,11.3557
220902143159.890,10.580,-2.3780,1.5983,-1.4660,-0.8846,-0.4049,-0.2306,0.0201,46.5217,34.6991,12.6907
220902143159.989,10.680,-2.3829,1.5976,-1.4833,-0.8796,-0.4134,-0.2342,0.0219,47.5217,35.6833,13.2800
220902143200.085,10.780,-2.3858,1.6027,-1.5036,-0.8743,-0.4155,-0.2497,0.0228,47.5585,38.2487,14.3882
220902143200.182,10.880,-2.3932,1.6042,-1.5204,-0.8720,-0.4002,-0.2810,0.0229,45.3006,42.1116,15.2455
220902143200.281,10.980,-2.3981,1.6008,-1.5353,-0.8697,-0.3903,-0.3019,0.0158,43.4962,44.9835,16.6780
