datetime,sessionTime,HR
220902143149.331,0.020,70
220902143150.331,1.020,70
220902143151.331,2.020,71
220902143152.332,3.020,71
220902143153.334,4.020,70
220902143154.340,5.040,70
220902143155.347,6.040,70
220902143156.351,7.040,70
220902143157.354,8.040,69
220902143158.357,9.060,69
220902143159.363,10.060,69
220902143200.365,11.060,69
220902143201.369,12.060,69
220902143202.372,13.060,69
220902143203.374,14.060,69
220902143204.378,15.080,69
220902143205.380,16.080,69
220902143206.383,17.080,68
220902143207.391,18.080,68
220902143208.403,19.100,68
220902143209.411,20.100,68
220902143210.407,21.100,68
220902143211.410,22.100,68
220902143212.414,23.100,68
220902143213.414,24.100,69
220902143214.416,25.100,69
220902143215.419,26.120,68
220902143216.432,27.120,69
220902143217.436,28.120,68
220902143218.440,29.140,68
220902143219.441,30.140,68
220902143220.446,31.140,68
220902143221.448,32.140,68
220902143222.450,33.140,68
220902143223.452,34.140,67
220902143224.454,35.140,68
220902143225.457,36.140,67
220902143226.460,37.160,67
220902143227.462,38.160,67
220902143228.465,39.160,67
220902143229.475,40.160,67
220902143230.473,41.160,67
220902143231.475,42.160,66
220902143232.476,43.160,67
220902143233.481,44.180,66
220902143234.482,45.180,66
220902143235.485,46.180,66
220902143236.489,47.180,65
220902143237.501,48.200,65
220902143238.503,49.200,65
220902143239.513,50.200,64
220902143240.509,51.200,64
220902143241.511,52.200,64
220902143242.515,53.200,64
220902143243.517,54.200,64
220902143244.523,55.220,64
220902143245.523,56.220,64
220902143246.526,57.220,64
220902143247.529,58.220,64
220902143248.531,59.220,63
220902143249.533,60.220,64
220902143250.538,61.220,63
220902143251.540,62.240,63
220902143252.542,63.240,63
220902143253.545,64.240,63
220902143254.551,65.240,63
220902143255.566,66.260,64
220902143256.567,67.260,64
220902143257.572,68.260,64
220902143258.573,69.260,64
220902143259.576,70.260,64
220902143300.577,71.260,64
220902143301.581,
