datetime,sessionTime,RMSSD
220902143158.358,0.020,7.457
220902143158.358,1.020,7.457
220902143159.363,2.020,8.693
220902143200.365,3.020,7.663
220902143201.369,4.020,7.542
220902143202.372,5.040,7.948
220902143203.374,6.040,7.583
220902143204.378,7.040,7.492
220902143205.380,8.040,8.551
220902143206.383,9.060,8.136
220902143207.391,10.060,8.491
220902143208.403,11.060,8.489
220902143209.411,12.060,8.907
220902143210.407,13.060,10.121
220902143211.410,14.060,9.795
220902143212.414,15.080,10.222
220902143213.414,16.080,11.843
220902143214.416,17.080,11.111
220902143215.419,18.080,11.671
220902143216.433,19.100,11.502
220902143217.436,20.100,10.817
220902143218.440,21.100,10.382
220902143219.442,22.100,9.375
220902143220.447,23.100,9.001
220902143221.449,24.100,9.049
220902143222.450,25.100,9.014
220902143223.452,26.120,9.182
220902143224.454,27.120,9.350
220902143225.457,28.120,9.308
220902143226.460,29.140,9.119
220902143227.462,30.140,9.235
220902143228.465,31.140,9.082
220902143229.475,32.140,9.431
220902143230.473,33.140,8.924
220902143231.475,34.140,8.459
220902143232.476,35.140,8.690
220902143233.481,36.140,7.982
220902143234.482,37.160,7.620
220902143235.485,38.160,8.164
220902143236.489,39.160,10.936
220902143237.501,40.160,11.529
220902143238.503,41.160,12.720
220902143239.513,42.160,12.904
220902143240.509,43.160,11.913
220902143241.511,44.180,12.281
220902143242.515,45.180,12.698
220902143243.517,46.180,13.709
220902143244.523,47.180,13.358
220902143245.523,48.200,11.292
220902143246.526,49.200,11.030
220902143247.529,50.200,9.369
220902143248.531,51.200,10.440
220902143249.533,52.200,10.629
220902143250.538,53.200,11.747
220902143251.540,54.200,11.121
220902143252.543,55.220,9.838
220902143253.546,56.220,10.076
220902143254.551,57.220,10.796
220902143255.566,58.220,11.789
220902143256.567,59.220,11.882
220902143257.572,60.220,10.558
220902143258.573,61.220,10.238
220902143259.576,62.240,9.054
220902143300.577,63.240,9.723
220902143301.581,
