datetime,sessionTime,RRi
220902143149.331,0.020,771.141
220902143150.331,1.020,772.521
220902143151.331,2.020,759.497
220902143152.332,3.020,755.419
220902143153.334,4.020,763.429
220902143154.341,5.040,773.668
220902143155.347,6.040,777.696
220902143156.351,7.040,775.470
220902143157.354,8.040,784.354
220902143158.357,9.060,790.925
220902143159.363,10.060,804.401
220902143200.365,11.060,800.158
220902143201.369,12.060,800.266
220902143202.372,13.060,789.277
220902143203.374,14.060,796.618
220902143204.378,15.080,798.567
220902143205.380,16.080,811.130
220902143206.383,17.080,815.219
220902143207.391,18.080,825.029
220902143208.403,19.100,811.566
220902143209.411,20.100,820.703
220902143210.407,21.100,806.280
220902143211.410,22.100,814.174
220902143212.414,23.100,802.736
220902143213.414,24.100,784.692
220902143214.416,25.100,787.289
220902143215.419,26.120,798.754
220902143216.433,27.120,790.944
220902143217.436,28.120,797.551
220902143218.440,29.140,796.908
220902143219.441,30.140,802.300
220902143220.447,31.140,802.870
220902143221.449,32.140,791.095
220902143222.450,33.140,808.982
220902143223.452,34.140,814.840
220902143224.454,35.140,802.214
220902143225.457,36.140,809.560
220902143226.460,37.160,813.085
220902143227.462,38.160,808.661
220902143228.465,39.160,806.725
220902143229.475,40.160,814.375
220902143230.473,41.160,821.785
220902143231.475,42.160,837.508
220902143232.476,43.160,829.147
220902143233.481,44.180,836.437
220902143234.482,45.180,838.199
220902143235.485,46.180,847.675
220902143236.489,47.180,869.945
220902143237.501,48.200,881.066
220902143238.503,49.200,898.911
220902143239.513,50.200,908.780
220902143240.509,51.200,903.697
220902143241.511,52.200,915.945
220902143242.515,53.200,903.824
220902143243.517,54.200,919.426
220902143244.523,55.220,917.377
220902143245.523,56.220,911.235
220902143246.526,57.220,919.662
220902143247.529,58.220,923.339
220902143248.531,59.220,940.318
220902143249.533,60.220,932.466
220902143250.538,61
