datetime,sessionTime,velPosX,velPosY,velPosZ,accPosX,accPosY,accPosZ,velQ0,velQi,velQj,velQk,accQ0,accQi,accQj,accQk,velPitch,velYaw,velRoll,accPitch,accYaw,accRoll
220902143151.985,2.480,-0.0006,-0.0011,0.0010,-0.0018,-0.0020,0.0032,1.0000,-0.0004,0.0034,-0.0078,0.9998,-0.0032,-0.0004,-0.0175,0.3486,0.3270,0.8214,0.3461,0.1781,0.1178
220902143151.985,2.580,-0.0006,-0.0011,0.0010,-0.0018,-0.0020,0.0032,1.0000,-0.0004,0.0034,-0.0078,0.9998,-0.0032,-0.0004,-0.0175,0.3486,0.3270,0.8214,0.3461,0.1781,0.1178
220902143151.986,2.680,-0.0006,-0.0011,0.0010,-0.0018,-0.0020,0.0032,1.0000,-0.0004,0.0034,-0.0078,0.9998,-0.0032,-0.0004,-0.0175,0.3486,0.3270,0.8214,0.3461,0.1781,0.1178
220902143152.180,2.780,-0.0002,0.0083,0.0021,0.0002,0.0080,0.0011,0.9998,-0.0194,0.0094,-0.0033,0.9997,-0.0191,0.0126,-0.0051,2.2179,1.0981,0.4077,2.1833,0.7446,0.2091
220902143152.180,2.880,-0.0002,0.0083,0.0021,0.0002,0.0080,0.0011,0.9998,-0.0194,0.0094,-0.0033,0.9997,-0.0191,0.0126,-0.0051,2.2179,1.0981,0.4077,2.1833,0.7446,0.2091
220902143152.388,2.980,0.0049,0.0306,0.0121,0.0025,0.0095,0.0065,0.9953,-0.0697,0.0660,-0.0099,0.9981,-0.0207,0.0580,0.0065,8.0225,7.4513,0.9475,2.1079,6.4423,0.6711
220902143152.389,3.080,0.0049,0.0306,0.0121,0.0025,0.0095,0.0065,0.9953,-0.0697,0.0660,-0.0099,0.9981,-0.0207,0.0580,0.0065,8.0225,7.4513,0.9475,2.1079,6.4423,0.6711
220902143152.582,3.180,-0.0136,0.0043,0.0008,-0.0149,-0.0160,-0.0054,0.9986,0.0469,-0.0233,0.0045,0.9869,0.1021,-0.1247,-0.0004,5.3798,2.7946,0.4419,0.8978,8.7275,0.3247
220902143152.582,3.280,-0.0136,0.0043,0.0008,-0.0149,-0.0160,-0.0054,0.9986,0.0469,-0.0233,0.0045,0.9869,0.1021,-0.1247,-0.0004,5.3798,2.7946,0.4419,0.8978,8.7275,0.3247
220902143152.790,3.380,0.0032,0.0144,0.0037,0.0073,0.0134,0.0026,0.9985,-0.0356,0.0351,0.0204,0.9988,-0.0358,0.0223,0.0257,4.1162,3.4251,2.3423,4.0532,1.8044,1.7644
220902143152.790,3.480,0.0032,0.0144,0.0037,0.0073,0.0134,0.0026,0.9985,-0.0356,0.0351,0.0204,0.9988,-0.0358,0.0223,0.0257,4.1162,3.4251,2.3423,4.0532,1.8044,1.7644
220902143152.987,3.580,-0.0010,0.0176,-0.0033,0.0006,0.0025,-0.0132,0.9972,-0.0669,0.0240,-0.0226,0.9994,-0.0137,-0.0295,-0.0074,6.9764,4.8131,4.6065,0.9687,2.0692,2.3371
220902143152.987,3.680,-0.0010,0.0176,-0.0033,0.0006,0.0025,-0.0132,0.9972,-0.0669,0.0240,-0.0226,0.9994,-0.0137,-0.0295,-0.0074,6.9764,4.8131,4.6065,0.9687,2.0692,2.3371
220902143153.181,3.780,-0.0092,0.0011,-0.0078,0.0017,-0.0087,-0.0045,0.9989,0.0262,-0.0345,-0.0162,0.9967,0.0385,-0.0650,0.0288,3.4493,3.5465,0.8751,3.4437,2.9315,5.4098
220902143153.181,3.880,-0.0092,0.0011,-0.0078,0.0017,-0.0087,-0.0045,0.9989,0.0262,-0.0345,-0.0162,0.9967,0.0385,-0.0650,0.0288,3.4493,3.5465,0.8751,3.4437,2.9315,5.4098
220902143153.391,3.980,-0.0058,0.0149,0.0036,0.0057,0.0086,0.0097,0.9995,0.0004,-0.0314,0.0100,0.9992,-0.0410,0.0020,0.0031,0.1660,4.0669,1.2281,4.2395,0.6508,0.7999
220902143153.391,4.080,-0.0058,0.0149,0.0036,0.0057,0.0086,0.0097,0.9995,0.0004,-0.0314,0.0100,0.9992,-0.0410,0.0020,0.0031,0.1660,4.0669,1.2281,4.2395,0.6508,0.7999
220902143153.586,4.180,-0.0150,0.0087,-0.0039,-0.0046,0.0003,-0.0018,0.9998,-0.0175,-0.0117,-0.0061,0.9974,-0.0701,-0.0118,-0.0131,1.8941,1.0409,0.9997,3.9809,0.5249,0.6951
220902143153.586,4.280,-0.0150,0.0087,-0.0039,-0.0046,0.0003,-0.0018,0.9998,-0.0175,-0.0117,-0.0061,0.9974,-0.0701,-0.0118,-0.0131,1.8941,1.0409,0.9997,3.9809,0.5249,0.6951
220902143153.781,4.380,-0.0109,0.0014,0.0026,-0.0012,-0.0059,-0.0045,0.9978,0.0402,-0.0420,0.0317,0.9958,0.0519,-0.0212,0.0721,4.4086,6.0171,4.0532,3.3102,5.0810,0.8349
220902143153.781,4.480,-0.0109,0.0014,0.0026,-0.0012,-0.0059,-0.0045,0.9978,0.0402,-0.0420,0.0317,0.9958,0.0519,-0.0212,0.0721,4.4086,6.0171,4.0532,3.3102,5.0810,0.8349
220902143153.990,4.580,-0.0068,0.0146,-0.0045,-0.0087,0.0068,-0.0149,0.9991,0.0403,-0.0109,-0.0023,0.9980,0.0195,-0.0595,0.0103,4.6265,1.2830,0.1713,2.1946,4.6094,1.4408
220902143153.990,4.680,-0.0068,0.0146,-0.0045,-0.0087,0.0068,-0.0149,0.9991,0.0403,-0.0109,-0.0023,0.9980,0.0195,-0.0595,0.0103,4.6265,1.2830,0.1713,2.1946,4.6094,1.4408
220902143154.184,4.780,-0.0268,-1.2073,-0.3338,-0.0271,-1.2183,-0.3505,0.9949,0.0497,-0.0687,0.0537,0.9933,0.0281,-0.1012,0.0490,5.2459,8.2055,6.5586,2.5936,4.6461,6.0768
220902143154.184,4.880,-0.0268,-1.2073,-0.3338,-0.0271,-1.2183,-0.3505,0.9949,0.0497,-0.0687,0.0537,0.9933,0.0281,-0.1012,0.0490,5.2459,8.2055,6.5586,2.5936,4.6461,6.0768
220902143154.383,4.980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.383,5.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.583,5.180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.583,5.280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.785,5.380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.785,5.480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.983,5.580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.983,5.680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.177,5.780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.177,5.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.381,5.980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.381,6.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.580,6.180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.580,6.280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.782,6.380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.782,6.480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.980,6.580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.980,6.680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.182,6.780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.182,6.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.385,6.980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.385,7.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.580,7.180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.580,7.280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.819,7.380,0.0268,1.2073,0.3338,0.0268,1.2073,0.3338,0.9949,-0.0497,0.0687,-0.0537,0.9949,-0.0497,0.0687,-0.0537,5.2459,8.2055,6.5586,5.2459,8.2055,6.5586
220902143156.819,7.480,0.0268,1.2073,0.3338,0.0268,1.2073,0.3338,0.9949,-0.0497,0.0687,-0.0537,0.9949,-0.0497,0.0687,-0.0537,5.2459,8.2055,6.5586,5.2459,8.2055,6.5586
220902143156.980,7.580,-0.0013,0.0035,-0.0007,0.1801,-0.2761,-0.1869,1.0000,-0.0034,-0.0048,0.0027,0.9340,-0.3512,-0.0596,-0.0259,0.4652,0.4374,0.2079,38.6793,9.4781,12.2969
220902143156.980,7.680,-0.0013,0.0035,-0.0007,0.1801,-0.2761,-0.1869,1.0000,-0.0034,-0.0048,0.0027,0.9340,-0.3512,-0.0596,-0.0259,0.4652,0.4374,0.2079,38.6793,9.4781,12.2969
220902143157.187,7.780,-0.0035,0.0037,0.0000,-0.0006,-0.0039,-0.0009,0.9999,0.0065,-0.0097,-0.0089,0.9999,0.0167,-0.0017,0.0042,0.9839,1.6391,0.9542,0.2838,0.4440,1.1411
220902143157.187,7.880,-0.0035,0.0037,0.0000,-0.0006,-0.0039,-0.0009,0.9999,0.0065,-0.0097,-0.0089,0.9999,0.0167,-0.0017,0.0042,0.9839,1.6391,0.9542,0.2838,0.4440,1.1411
220902143157.381,7.980,-0.0053,0.0089,-0.0004,-0.0031,0.0015,-0.0011,0.9999,-0.0077,-0.0099,0.0116,0.9998,0.0019,-0.0002,0.0218,1.1315,0.4209,1.3294,0.3052,1.5792,0.3293
220902143157.381,8.080,-0.0053,0.0089,-0.0004,-0.0031,0.0015,-0.0011,0.9999,-0.0077,-0.0099,0.0116,0.9998,0.0019,-0.0002,0.0218,1.1315,0.4209,1.3294,0.3052,1.5792,0.3293
220902143157.591,8.180,-0.0073,0.0143,0.0027,-0.0002,0.0026,-0.0012,0.9999,-0.0135,-0.0069,0.0003,0.9999,-0.0060,0.0024,0.0091,1.5322,0.9134,0.2526,0.8716,0.8429,1.1033
220902143157.591,8.280,-0.0073,0.0143,0.0027,-0.0002,0.0026,-0.0012,0.9999,-0.0135,-0.0069,0.0003,0.9999,-0.0060,0.0024,0.0091,1.5322,0.9134,0.2526,0.8716,0.8429,1.1033
220902143157.786,8.380,-0.0078,0.0153,0.0043,0.0015,0.0024,0.0024,0.9998,-0.0118,-0.0126,-0.0109,0.9998,-0.0095,-0.0103,-0.0146,1.1716,2.2198,1.6140,0.8567,2.1685,1.1702
220902143157.786,8.480,-0.0078,0.0153,0.0043,0.0015,0.0024,0.0024,0.9998,-0.0118,-0.0126,-0.0109,0.9998,-0.0095,-0.0103,-0.0146,1.1716,2.2198,1.6140,0.8567,2.1685,1.1702
220902143157.982,8.580,-0.0108,0.0117,0.0056,0.0011,0.0014,0.0026,0.9999,-0.0006,-0.0074,0.0068,0.9997,-0.0144,-0.0066,0.0162,0.1497,0.4099,0.8867,1.5304,0.1967,0.1502
220902143157.982,8.680,-0.0108,0.0117,0.0056,0.0011,0.0014,0.0026,0.9999,-0.0006,-0.0074,0.0068,0.9997,-0.0144,-0.0066,0.0162,0.1497,0.4099,0.8867,1.5304,0.1967,0.1502
220902143158.192,8.780,-0.0080,0.0099,0.0029,0.0014,0.0015,-0.0021,1.0000,0.0028,0.0056,0.0048,0.9999,-0.0084,0.0092,0.0075,0.2689,0.9894,0.6739,1.0367,0.4594,0.4614
220902143158.192,8.880,-0.0080,0.0099,0.0029,0.0014,0.0015,-0.0021,1.0000,0.0028,0.0056,0.0048,0.9999,-0.0084,0.0092,0.0075,0.2689,0.9894,0.6739,1.0367,0.4594,0.4614
220902143158.387,8.980,-0.0042,0.0033,-0.0001,0.0001,-0.0028,-0.0016,1.0000,0.0019,0.0050,-0.0018,0.9999,0.0082,0.0081,-0.0037,0.2411,0.4622,0.2112,0.4922,0.1856,0.0443
220902143158.387,9.080,-0.0042,0.0033,-0.0001,0.0001,-0.0028,-0.0016,1.0000,0.0019,0.0050,-0.0018,0.9999,0.0082,0.0081,-0.0037,0.2411,0.4622,0.2112,0.4922,0.1856,0.0443
220902143158.582,9.180,-0.0027,0.0031,0.0004,-0.0003,-0.0007,0.0006,1.0000,-0.0064,-0.0002,-0.0030,1.0000,-0.0022,-0.0063,-0.0052,0.6904,0.2673,0.5018,0.1778,0.5467,0.2723
220902143158.582,9.280,-0.0027,0.0031,0.0004,-0.0003,-0.0007,0.0006,1.0000,-0.0064,-0.0002,-0.0030,1.0000,-0.0022,-0.0063,-0.0052,0.6904,0.2673,0.5018,0.1778,0.5467,0.2723
220902143158.791,9.380,-0.0013,0.0117,-0.0005,0.0006,0.0086,-0.0005,0.9991,-0.0411,0.0036,0.0056,0.9995,-0.0295,0.0023,0.0061,4.7529,0.4383,0.0668,3.4356,0.3964,0.1759
220902143158.791,9.480,-0.0013,0.0117,-0.0005,0.0006,0.0086,-0.0005,0.9991,-0.0411,0.0036,0.0056,0.9995,-0.0295,0.0023,0.0061,4.7529,0.4383,0.0668,3.4356,0.3964,0.1759
220902143158.986,9.580,-0.0072,0.0088,0.0034,-0.0021,0.0001,0.0034,0.9997,-0.0241,0.0007,0.0049,0.9999,0.0080,-0.0062,-0.0070,2.8116,0.1292,0.1550,1.0180,0.9913,0.7676
220902143158.986,9.680,-0.0072,0.0088,0.0034,-0.0021,0.0001,0.0034,0.9997,-0.0241,0.0007,0.0049,0.9999,0.0080,-0.0062,-0.0070,2.8116,0.1292,0.1550,1.0180,0.9913,0.7676
220902143159.182,9.780,-0.0128,-0.0035,0.0004,-0.0035,-0.0065,-0.0039,0.9992,0.0291,0.0257,0.0034,0.9993,0.0271,0.0258,0.0021,3.2099,3.2684,1.0270,3.0147,3.2180,0.8260
220902143159.182,9.880,-0.0128,-0.0035,0.0004,-0.0035,-0.0065,-0.0039,0.9992,0.0291,0.0257,0.0034,0.9993,0.0271,0.0258,0.0021,3.2099,3.2684,1.0270,3.0147,3.2180,0.8260
220902143159.390,9.980,-0.0133,-0.0126,0.0008,0.0060,0.0023,0.0052,0.9977,0.0529,0.0364,0.0212,0.9981,-0.0455,-0.0352,0.0216,4.4695,7.3293,5.7113,6.5198,2.2114,2.1669
220902143159.390,10.080,-0.0133,-0.0126,0.0008,0.0060,0.0023,0.0052,0.9977,0.0529,0.0364,0.0212,0.9981,-0.0455,-0.0352,0.0216,4.4695,7.3293,5.7113,6.5198,2.2114,2.1669
220902143159.583,10.180,-0.0118,-0.0077,0.0019,-0.0022,0.0012,-0.0058,0.9999,0.0121,0.0068,-0.0009,0.9992,-0.0081,0.0234,0.0316,1.2920,1.1990,0.6537,2.4609,2.4603,2.1632
220902143159.584,10.280,-0.0118,-0.0077,0.0019,-0.0022,0.0012,-0.0058,0.9999,0.0121,0.0068,-0.0009,0.9992,-0.0081,0.0234,0.0316,1.2920,1.1990,0.6537,2.4609,2.4603,2.1632
220902143159.780,10.380,-0.0091,-0.0053,-0.0107,0.0026,0.0038,-0.0062,0.9995,0.0239,0.0200,-0.0065,1.0000,0.0014,0.0050,-0.0028,2.7363,3.0183,1.0315,0.2671,0.5431,0.0792
220902143159.780,10.480,-0.0091,-0.0053,-0.0107,0.0026,0.0038,-0.0062,0.9995,0.0239,0.0200,-0.0065,1.0000,0.0014,0.0050,-0.0028,2.7363,3.0183,1.0315,0.2671,0.5431,0.0792
220902143159.989,10.580,-0.0049,-0.0007,-0.0174,0.0053,0.0034,-0.0017,0.9999,0.0092,0.0048,-0.0022,-0.9999,-0.0001,0.0126,0.0060,1.0000,0.9842,0.5893,0.3708,1.9880,0.7457
220902143159.989,10.680,-0.0049,-0.0007,-0.0174,0.0053,0.0034,-0.0017,0.9999,0.0092,0.0048,-0.0022,-0.9999,-0.0001,0.0126,0.0060,1.0000,0.9842,0.5893,0.3708,1.9880,0.7457
220902143200.183,10.780,-0.0074,0.0015,-0.0168,-0.0045,-0.0036,0.0034,0.9994,-0.0117,0.0283,0.0167,0.9997,-0.0158,0.0129,0.0119,2.2579,3.8629,0.8572,2.2211,1.2974,0.2510
