datetime,sessionTime,SDNN
220902143159.293,9.060,10.863
220902143209.292,19.100,10.848
220902143219.290,29.140,11.371
220902143229.288,39.160,7.023
220902143239.283,49.200,28.617
220902143249.283,59.220,11.499
220902143259.285,69.260,10.679
220902143309.284,79.300,13.137
