datetime,sessionTime,RMSSD
220902155510.350,0.040,9.117
220902155510.351,1.040,9.117
220902155511.356,2.040,9.561
220902155512.356,3.060,8.781
220902155513.359,4.060,8.916
220902155514.362,5.060,7.963
220902155515.365,6.060,8.010
220902155516.367,7.060,7.969
220902155517.369,8.060,7.824
220902155518.373,9.060,9.883
220902155519.375,10.080,9.208
220902155520.377,11.080,7.967
220902155521.381,12.080,9.296
220902155522.383,13.080,9.303
220902155523.385,14.080,9.792
220902155524.388,15.080,9.678
220902155525.392,16.080,9.995
220902155526.393,17.080,9.859
220902155527.397,18.100,8.205
220902155528.400,19.100,9.962
220902155529.402,20.100,9.961
220902155530.405,21.100,8.820
220902155531.407,22.100,8.920
220902155532.410,23.100,8.280
220902155533.412,24.100,8.425
220902155534.416,25.100,8.141
220902155535.418,26.120,9.592
220902155536.422,27.120,9.248
220902155537.423,28.120,7.312
220902155538.426,29.120,9.432
220902155539.426,30.120,9.094
220902155540.427,31.120,8.815
220902155541.431,32.120,8.800
220902155542.434,33.140,8.718
220902155543.434,34.140,8.658
220902155544.440,35.140,7.027
220902155545.440,36.140,8.822
220902155546.443,37.140,11.146
220902155547.443,38.140,10.224
220902155548.446,39.140,10.458
220902155549.448,40.140,10.823
220902155550.452,41.140,12.164
220902155551.457,42.160,12.496
220902155552.459,43.160,12.472
220902155553.459,44.160,12.555
220902155554.463,45.160,11.327
220902155555.466,46.160,8.698
220902155556.468,47.160,8.984
220902155557.469,48.160,9.449
220902155558.474,49.160,9.007
220902155559.474,50.180,9.025
220902155600.477,51.180,9.212
220902155601.485,52.180,9.494
220902155602.481,53.180,9.398
220902155603.485,54.180,9.760
220902155604.487,55.180,9.762
220902155605.489,56.180,9.657
220902155606.492,57.180,8.865
220902155607.494,58.180,8.918
220902155608.499,59.200,7.142
220902155609.500,60.200,6.438
220902155610.503,61.200,6.747
220902155611.506,62.200,8.425
220902155612.511,63.200,8.461
220902155613.525,64.200,8.473
220902155614.527,65.200,7.336
220902155615.532,66.200,10.254
220902155616.534,67.220,10.518
220902155617.549,68.220,10.371
220902155618.549,69.220,10.281
220902155619.553,70.220,10.412
220902155620.558,71.220,10.754
220902155621.560,72.240,10.589
220902155622.562,73.240,10.827
220902155623.567,74.240,11.118
220902155624.568,75.240,8.968
220902155625.568,76.260,10.325
220902155626.569,77.260,10.384
220902155627.576,78.260,10.532
220902155628.577,79.280,9.926
220902155629.581,80.280,8.075
220902155630.583,81.280,8.073
220902155631.586,82.280,8.401
220902155632.587,83.280,7.989
220902155633.590,84.280,7.536
220902155634.592,85.280,6.433
220902155635.595,86.300,8.660
220902155636.600,87.300,9.719
220902155637.600,88.300,9.721
220902155638.602,89.300,10.011
220902155639.603,90.300,10.014
220902155640.607,91.300,9.527
220902155641.610,92.300,9.507
220902155642.610,93.300,9.822
220902155643.615,94.300,11.460
220902155644.617,95.320,10.510
220902155645.618,96.320,9.816
220902155646.621,97.32
