datetime,sessionTime,HR
220902155501.325,0.040,71
220902155502.323,1.040,71
220902155503.326,2.040,71
220902155504.335,3.060,71
220902155505.338,4.060,71
220902155506.341,5.060,70
220902155507.344,6.060,71
220902155508.347,7.060,70
220902155509.348,8.060,71
220902155510.350,9.060,70
220902155511.356,10.080,71
220902155512.356,11.080,71
220902155513.359,12.080,71
220902155514.361,13.080,70
220902155515.364,14.080,70
220902155516.367,15.080,70
220902155517.369,16.080,70
220902155518.373,17.080,69
220902155519.375,18.100,69
220902155520.377,19.100,69
220902155521.380,20.100,69
220902155522.383,21.100,69
220902155523.385,22.100,70
220902155524.388,23.100,69
220902155525.391,24.100,69
220902155526.393,25.100,69
220902155527.396,26.120,69
220902155528.400,27.120,69
220902155529.401,28.120,69
220902155530.405,29.120,68
220902155531.407,30.120,69
220902155532.409,31.120,69
220902155533.412,32.120,68
220902155534.416,33.140,69
220902155535.417,34.140,68
220902155536.421,35.140,68
220902155537.423,36.140,68
220902155538.426,37.140,68
220902155539.426,38.140,68
220902155540.427,39.140,68
220902155541.430,40.140,68
220902155542.434,41.140,68
220902155543.434,42.160,68
220902155544.440,43.160,68
220902155545.440,44.160,67
220902155546.443,45.160,68
220902155547.443,46.160,69
220902155548.446,47.160,68
220902155549.448,48.160,68
220902155550.451,49.160,67
220902155551.456,50.180,67
220902155552.459,51.180,68
220902155553.459,52.180,68
220902155554.462,53.180,68
220902155555.466,54.180,68
220902155556.468,55.180,68
220902155557.468,56.180,68
220902155558.473,57.180,68
220902155559.474,58.180,69
220902155600.477,59.200,68
220902155601.485,60.200,68
220902155602.481,61.200,68
220902155603.485,62.200,68
220902155604.487,63.200,68
220902155605.489,64.200,68
220902155606.492,65.200,68
220902155607.494,66.200,68
220902155608.498,67.220,69
220902155609.499,68.220,69
220902155610.503,69.220,68
220902155611.506,70.220,69
220902155612.510,71.220,69
220902155613.525,72.240,70
220902155614.527,73.240,70
220902155615.532,74.240,69
220902155616.534,75.240,69
220902155617.549,76.260,69
220902155618.549,77.260,68
220902155619.552,78.260,68
220902155620.558,79.280,67
220902155621.560,80.280,67
220902155622.562,81.280,68
220902155623.567,82.280,67
220902155624.568,83.280,67
220902155625.568,84.280,68
220902155626.569,85.280,68
220902155627.576,86.300,68
220902155628.577,87.300,68
220902155629.581,88.300,68
220902155630.583,89.300,68
220902155631.585,90.300,68
220902155632.587,91.300,67
220902155633.590,92.300,67
220902155634.592,93.300,68
220902155635.595,94.300,68
220902155636.600,95.320,68
220902155637.599,96.320,68
220902155638.602,97.320,68
220902155639.603,98.320,68
220902155640.607,99.320,68
220902155641.610,100.320,68
220902155642.610,101.320,67
220902155643.614,102.320,68
220902155644.617,103.340,68
220902155645.618,104.340,67
220902155646.620,105.340,68
220902155647.621,106.340,68
220902155648.626,107.340,68
220902155649.628,108.340,68
220902155650.632,109.340,68
