datetime,sessionTime,SDNN
220902145053.149,9.600,9.790
220902145104.775,19.820,6.721
220902145114.784,29.880,6.246
220902145124.781,39.920,8.907
220902145134.779,49.940,24.525
220902145144.774,59.980,15.449
220902145154.772,69.020,12.926
220902145204.769,79.040,6.837
220902145214.767,89.080,10.127
