datetime,sessionTime,RMSSD
220902145052.773,0.580,9.789
220902145052.773,1.580,9.789
220902145053.776,2.580,9.108
220902145054.777,3.580,9.114
220902145055.785,4.580,9.334
220902145056.797,5.600,9.412
220902145057.799,6.600,7.520
220902145058.803,7.600,6.289
220902145059.805,8.600,5.287
220902145100.808,9.600,5.247
220902145101.806,10.620,4.151
220902145104.616,11.620,5.631
220902145105.623,12.620,6.412
220902145106.626,13.640,6.075
220902145107.629,14.640,6.033
220902145108.648,15.640,6.207
220902145109.661,16.640,6.051
220902145110.662,17.640,6.834
220902145111.666,18.640,6.976
220902145112.667,19.820,7.070
220902145113.670,20.840,6.550
220902145114.672,21.840,6.741
220902145115.673,22.840,6.316
220902145116.677,23.860,6.244
220902145117.679,24.880,6.628
220902145118.682,25.880,7.205
220902145119.684,26.880,7.503
220902145120.687,27.880,8.104
220902145121.690,28.880,9.033
220902145122.693,29.880,8.841
220902145123.695,30.880,8.428
220902145124.698,31.880,8.483
220902145125.699,32.900,8.480
220902145126.703,33.900,8.482
220902145127.706,34.900,9.971
220902145128.720,35.900,9.206
220902145129.723,36.900,8.580
220902145130.726,37.900,9.577
220902145131.730,38.900,9.652
220902145132.731,39.920,9.539
220902145133.736,40.920,9.666
220902145134.737,41.920,10.260
220902145135.739,42.920,10.857
220902145136.743,43.940,9.195
220902145137.743,44.940,9.198
220902145138.748,45.940,9.561
220902145139.760,46.940,7.572
220902145140.764,47.940,7.703
220902145141.767,48.940,8.180
220902145142.770,49.940,8.284
220902145143.773,50.960,7.572
220902145144.774,51.960,6.976
220902145145.777,52.960,8.823
220902145146.780,53.960,9.792
220902145147.781,54.980,10.528
220902145148.785,55.980,11.102
220902145149.787,56.980,11.729
220902145150.790,57.980,11.902
220902145151.792,58.980,11.768
220902145152.794,59.980,11.833
220902145153.798,60.980,12.093
220902145154.800,62.000,10.992
220902145155.803,63.000,10.108
220902145156.805,64.000,9.236
220902145157.808,65.000,8.863
220902145158.810,66.000,7.692
220902145159.813,67.000,6.830
220902145200.814,68.000,6.680
220902145201.815,69.020,6.570
220902145202.818,70.020,5.687
220902145203.822,71.020,6.663
220902145204.824,72.020,9.625
220902145205.828,73.020,9.486
220902145206.832,74.020,9.652
220902145207.833,75.020,9.607
220902145208.835,76.020,9.752
220902145209.838,77.020,9.759
220902145210.840,78.040,9.806
220902145211.843,79.040,10.130
220902145212.849,80.040,11.414
220902145213.863,81.040,9.091
220902145214.865,82.040,9.190
220902145215.867,83.040,9.261
220902145216.869,84.040,9.221
220902145217.879,85.060,9.661
