datetime,sessionTime,HR
220902145043.738,0.580,68
220902145044.738,1.580,67
220902145045.740,2.580,67
220902145046.743,3.580,67
220902145047.748,4.580,67
220902145048.763,5.600,68
220902145049.766,6.600,68
220902145050.767,7.600,68
220902145051.770,8.600,68
220902145052.772,9.600,67
220902145053.775,10.620,67
220902145054.777,11.620,67
220902145055.785,12.620,67
220902145056.797,13.640,68
220902145057.799,14.640,68
220902145058.802,15.640,68
220902145059.805,16.640,68
220902145100.807,17.640,68
220902145101.806,18.640,67
220902145104.616,19.820,67
220902145105.623,20.840,67
220902145106.625,21.840,68
220902145107.629,22.840,67
220902145108.648,23.860,67
220902145109.661,24.880,67
220902145110.662,25.880,68
220902145111.665,26.880,67
220902145112.666,27.880,68
220902145113.670,28.880,67
220902145114.672,29.880,68
220902145115.673,30.880,68
220902145116.676,31.880,68
220902145117.679,32.900,68
220902145118.681,33.900,69
220902145119.684,34.900,68
220902145120.687,35.900,68
220902145121.690,36.900,69
220902145122.692,37.900,69
220902145123.695,38.900,69
220902145124.698,39.920,68
220902145125.699,40.920,68
220902145126.703,41.920,69
220902145127.706,42.920,70
220902145128.720,43.940,70
220902145129.723,44.940,70
220902145130.726,45.940,70
220902145131.730,46.940,71
220902145132.731,47.940,71
220902145133.736,48.940,70
220902145134.737,49.940,71
220902145135.739,50.960,72
220902145136.743,51.960,72
220902145137.743,52.960,71
220902145138.748,53.960,71
220902145139.760,54.980,71
220902145140.764,55.980,71
220902145141.767,56.980,70
220902145142.770,57.980,70
220902145143.773,58.980,70
220902145144.774,59.980,69
220902145145.777,60.980,69
220902145146.780,62.000,70
220902145147.781,63.000,69
220902145148.785,64.000,70
220902145149.787,65.000,71
220902145150.790,66.000,70
220902145151.792,67.000,71
220902145152.794,68.000,70
220902145153.798,69.020,71
220902145154.800,70.020,71
220902145155.802,71.020,71
220902145156.805,72.020,71
220902145157.807,
