datetime,sessionTime,velPosX,velPosY,velPosZ,accPosX,accPosY,accPosZ,velQ0,velQi,velQj,velQk,accQ0,accQi,accQj,accQk,velPitch,velYaw,velRoll,accPitch,accYaw,accRoll
220902145045.841,2.480,0.0019,-0.0005,0.0006,0.0014,-0.0011,0.0006,1.0000,0.0027,0.0011,0.0040,1.0000,0.0051,0.0000,0.0080,0.2196,0.2073,0.5146,0.0409,0.1560,0.0049
220902145045.841,2.580,0.0019,-0.0005,0.0006,0.0014,-0.0011,0.0006,1.0000,0.0027,0.0011,0.0040,1.0000,0.0051,0.0000,0.0080,0.2196,0.2073,0.5146,0.0409,0.1560,0.0049
220902145045.841,2.680,0.0019,-0.0005,0.0006,0.0014,-0.0011,0.0006,1.0000,0.0027,0.0011,0.0040,1.0000,0.0051,0.0000,0.0080,0.2196,0.2073,0.5146,0.0409,0.1560,0.0049
220902145046.047,2.780,0.0039,-0.0057,0.0040,0.0012,-0.0049,0.0028,0.9995,0.0216,-0.0189,-0.0091,0.9997,0.0182,-0.0117,-0.0086,2.6085,2.2882,0.6475,2.2110,1.4619,0.6215
220902145046.047,2.880,0.0039,-0.0057,0.0040,0.0012,-0.0049,0.0028,0.9995,0.0216,-0.0189,-0.0091,0.9997,0.0182,-0.0117,-0.0086,2.6085,2.2882,0.6475,2.2110,1.4619,0.6215
220902145046.241,2.980,0.0020,-0.0061,0.0237,-0.0029,0.0032,0.0102,0.9933,0.0204,-0.1133,-0.0075,0.9987,-0.0254,-0.0453,-0.0007,2.2162,13.3841,1.1887,3.0450,5.3606,0.3005
220902145046.241,3.080,0.0020,-0.0061,0.0237,-0.0029,0.0032,0.0102,0.9933,0.0204,-0.1133,-0.0075,0.9987,-0.0254,-0.0453,-0.0007,2.2162,13.3841,1.1887,3.0450,5.3606,0.3005
220902145046.438,3.180,-0.0077,-0.0007,0.0184,-0.0039,0.0023,-0.0111,0.9959,-0.0104,-0.0896,-0.0093,0.9986,-0.0199,0.0492,0.0016,1.5909,10.3413,0.1991,1.1161,6.2008,1.7283
220902145046.438,3.280,-0.0077,-0.0007,0.0184,-0.0039,0.0023,-0.0111,0.9959,-0.0104,-0.0896,-0.0093,0.9986,-0.0199,0.0492,0.0016,1.5909,10.3413,0.1991,1.1161,6.2008,1.7283
220902145046.647,3.380,-0.0070,-0.0003,-0.0122,0.0023,0.0012,-0.0162,0.9999,-0.0107,-0.0113,0.0022,0.9993,-0.0076,0.0373,0.0016,0.6591,0.9618,1.1115,0.4052,4.5284,0.8447
