datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902145045.642,2.480,-2.4822,1.6154,-2.1699,0.9925,0.0786,0.0917,0.0182,8.7843,10.7866,2.9335
220902145045.739,2.580,-2.4818,1.6160,-2.1699,0.9927,0.0767,0.0926,0.0139,8.6056,10.8379,2.4239
220902145045.838,2.680,-2.4799,1.6155,-2.1694,0.9923,0.0790,0.0940,0.0180,8.8252,11.0453,2.9385
220902145045.935,2.780,-2.4772,1.6147,-2.1682,0.9927,0.0823,0.0867,0.0185,9.2227,10.2189,2.9645
220902145046.047,2.880,-2.4733,1.6090,-2.1642,0.9922,0.1042,0.0667,0.0129,11.8313,7.9306,2.3169
220902145046.143,2.980,-2.4684,1.5997,-2.1507,0.9888,0.1486,-0.0027,0.0125,17.0925,359.9071,1.4288
220902145046.241,3.080,-2.4664,1.5936,-2.1270,0.9790,0.1663,-0.1160,0.0217,19.3087,346.5229,0.2401
220902145046.339,3.180,-2.4702,1.5907,-2.0975,0.9521,0.1697,-0.2527,0.0305,19.7835,329.9808,358.3126
220902145046.438,3.280,-2.4779,1.5900,-2.0791,0.9276,0.1540,-0.3381,0.0393,18.1925,319.6395,358.1135
220902145046.548,3.380,-2.4872,1.5885,-2.0751,0.9105,0.1490,-0.3827,0.0479,17.9386,314.1494,358.3802
220902145046.646,3.480,-2.4942,1.5881,-2.0872,0.9076,0.1396,-0.3921,0.0556,17.2795,313.1876,359.4917
220902145046.742,3.580,-2.4955,1.5964,-2.1040,0.9082,0.1296,-0.3931,0.0623,16.5228,313.2877,0.6668
220902145046.840,3.680,-2.4941,1.5961,-2.1235,0.9180,0.1175,-0.3742,0.0589,15.0584,315.8007,1.1982
220902145046.939,3.780,-2.4922,1.5972,-2.1411,0.9256,0.1225,-0.3539,0.0547,15.3987,318.2632,0.8592
220902145047.037,3.880,-2.4899,1.5999,-2.1565,0.9340,0.1084,-0.3370,0.0472,13.5532,320.4255,0.8919
220902145047.147,3.980,-2.4904,1.6025,-2.1695,0.9391,0.0996,-0.3260,0.0429,12.4174,321.8103,0.9216
220902145047.246,4.080,-2.4939,1.6107,-2.1751,0.9391,0.0698,-0.3345,0.0372,8.9681,320.8951,1.3426
220902145047.341,4.180,-2.5061,1.6407,-2.1836,0.9343,-0.0663,-0.3502,-0.0088,352.5315,318.7883,1.7374
220902145047.439,4.280,-2.5183,1.6490,-2.1921,0.9295,-0.1043,-0.3532,-0.0189,348.0390,318.1466,2.2576
220902145047.538,4.380,-2.5273,1.6551,-2.1997,0.9280,-0.1365,-0.3459,-0.0211,344.4573,318.6656,3.2918
220902145047.635,4.480,-2.5307,1.6561,-2.2041,0.9314,-0.1395,-0.3351,-0.0261,343.8951,320.0526,2.6773
220902145047.747,4.580,-2.5302,1.6540,-2.2045,0.9400,-0.1292,-0.3150,-0.0221,345.1203,322.6407,2.3667
220902145047.843,4.680,-2.5264,1.6521,-2.2017,0.9497,-0.1213,-0.2882,-0.0168,346.1034,325.9626,2.2437
220902145047.941,4.780,-2.5168,1.6464,-2.2025,0.9693,-0.0940,-0.2270,-0.0121,349.1810,333.5306,1.1253
220902145048.038,4.880,-2.5028,1.6375,-2.2126,0.9937,-0.0462,-0.1018,-0.0058,354.6661,348.3123,359.8798
220902145048.136,4.980,-2.4947,1.6215,-2.2308,0.9975,0.0223,0.0674,-0.0031,2.5686,7.7239,359.8156
220902145048.247,5.080,-2.4943,1.5962,-2.2487,0.9565,0.1364,0.2576,-0.0118,15.4810,30.5362,2.8369
220902145048.345,5.180,-2.4902,1.5690,-2.2501,0.9168,0.2271,0.3259,-0.0417,26.3298,40.2160,4.5794
220902145048.442,5.280,-2.4770,1.5499,-2.2430,0.8957,0.2950,0.3246,-0.0733,35.1674,41.1844,4.2287
220902145048.539,5.380,-2.4622,1.5439,-2.2351,0.8974,0.3008,0.3124,-0.0811,36.1937,39.3648,3.0110
220902145048.637,5.480,-2.4510,1.5415,-2.2300,0.8935,0.3120,0.3120,-0.0828,37.5354,39.6494,3.3816
220902145048.748,5.580,-2.4437,1.5496,-2.2289,0.8972,0.2810,0.3292,-0.0880,34.2053,40.8819,1.8839
220902145048.846,5.680,-2.4477,1.5780,-2.2336,0.9020,0.1728,0.3932,-0.0436,20.2507,47.7263,3.4951
220902145048.943,5.780,-2.4590,1.5953,-2.2303,0.8972,0.1036,0.4286,-0.0266,12.0408,51.3228,2.4064
220902145049.041,5.880,-2.4708,1.6013,-2.2269,0.8899,0.0797,0.4484,-0.0235,9.3780,53.6282,1.7236
220902145049.138,5.980,-2.4846,1.6071,-2.2282,0.8723,0.0634,0.4843,-0.0231,7.6462,58.1580,1.2208
220902145049.235,6.080,-2.5015,1.6116,-2.2320,0.8379,0.0479,0.5436,-0.0082,5.1146,66.0480,2.2089
220902145049.347,6.180,-2.5134,1.6126,-2.2349,0.8224,0.0471,0.5669,-0.0089,5.0234,69.2564,2.2250
220902145049.446,6.280,-2.5197,1.6096,-2.2372,0.8199,0.0608,0.5691,-0.0153,6.7229,69.6755,2.5395
220902145049.543,6.380,-2.5199,1.6060,-2.2370,0.8261,0.0690,0.5587,-0.0261,8.2320,68.2840,1.9633
220902145049.639,6.480,-2.5219,1.5948,-2.2342,0.8359,0.1136,0.5348,-0.0494,14.0475,65.5076,2.2966
220902145049.739,6.580,-2.5255,1.5862,-2.2309,0.8492,0.1448,0.5028,-0.0719,18.5535,61.4917,1.4179
220902145049.847,6.680,-2.5302,1.5823,-2.2286,0.8636,0.1609,0.4721,-0.0740,20.3567,57.5894,1.4741
220902145049.946,6.780,-2.5376,1.5813,-2.2332,0.8904,0.1647,0.4193,-0.0655,20.3783,50.6683,1.3063
220902145050.043,6.880,-2.5438,1.5815,-2.2394,0.9145,0.1628,0.3653,-0.0616,20.0415,43.6122,0.3834
220902145050.140,6.980,-2.5529,1.5817,-2.2519,0.9415,0.1676,0.2886,-0.0479,20.0753,34.1542,0.3980
220902145050.238,7.080,-2.5634,1.5842,-2.2675,0.9678,0.1597,0.1923,-0.0304,18.7152,22.4995,0.1529
220902145050.335,7.180,-2.5735,1.5837,-2.2917,0.9854,0.1597,0.0592,-0.0066,18.3886,6.9393,0.3545
220902145050.447,7.280,-2.5739,1.5834,-2.3177,0.9828,0.1564,-0.0967,0.0187,18.1192,348.8223,0.3895
220902145050.545,7.380,-2.5610,1.5806,-2.3291,0.9630,0.1457,-0.2217,0.0480,17.5761,334.3266,1.6762
220902145050.642,7.480,-2.5527,1.5785,-2.3227,0.9346,0.1516,-0.3148,0.0668,18.9883,323.0697,1.7784
220902145050.739,7.580,-2.5449,1.5768,-2.3075,0.8957,0.1362,-0.4139,0.0883,18.4852,310.8404,2.7521
220902145050.837,7.680,-2.5397,1.5769,-2.2837,0.8543,0.1338,-0.4935,0.0936,18.7239,300.2533,1.6900
220902145050.948,7.780,-2.5315,1.5675,-2.2537,0.7984,0.1483,-0.5714,0.1184,21.8417,289.0562,1.2087
220902145051.046,7.880,-2.5238,1.5609,-2.2294,0.7490,0.1548,-0.6292,0.1382,23.9465,280.1062,0.7711
220902145051.142,7.980,-2.5150,1.5569,-2.2060,0.6982,0.1525,-0.6833,0.1494,24.6550,271.2394,0.0113
220902145051.240,8.080,-2.5079,1.5561,-2.1821,0.6476,0.1498,-0.7317,0.1510,24.5117,262.6983,358.5111
220902145051.338,8.180,-2.5014,1.5572,-2.1583,0.5939,0.1321,-0.7804,0.1442,22.4628,254.1174,357.8344
220902145051.434,8.280,-2.5005,1.5571,-2.1405,0.5600,0.1166,-0.8082,0.1400,20.9104,249.0786,358.0513
220902145051.547,8.380,-2.5048,1.5565,-2.1272,0.5484,0.1075,-0.8166,0.1443,20.7031,247.5757,358.9367
220902145051.644,8.480,-2.5104,1.5577,-2.1221,0.5513,0.1054,-0.8150,0.1437,20.5205,248.0087,359.1848
220902145051.741,8.580,-2.5176,1.5595,-2.1210,0.5670,0.1062,-0.8048,0.1394,20.1724,250.1927,359.2093
220902145051.838,8.680,-2.5266,1.5586,-2.1238,0.5933,0.1147,-0.7847,0.1383,20.6774,254.0129,359.0272
