datetime,sessionTime,RMSSD
220902154946.658,0.240,6.835
220902154946.658,1.260,6.835
220902154947.660,2.260,7.085
220902154948.664,3.260,6.236
220902154949.666,4.260,6.745
220902154950.670,5.280,6.879
220902154951.674,6.280,7.233
220902154952.674,7.280,9.131
220902154953.679,8.280,9.157
220902154954.680,9.280,11.787
220902154955.681,10.280,11.402
220902154956.681,11.300,11.409
220902154957.688,12.300,11.868
220902154958.690,13.300,11.529
220902154959.691,14.300,11.569
220902155000.693,15.300,11.389
220902155001.697,16.300,9.828
220902155002.698,17.300,9.633
220902155003.700,18.300,6.349
220902155004.707,19.300,6.963
220902155005.716,20.320,7.446
220902155006.717,21.320,6.708
220902155007.721,22.320,7.031
220902155008.723,23.320,7.130
220902155009.725,24.320,6.665
220902155010.730,25.320,6.704
220902155011.730,26.320,7.340
220902155012.731,27.340,9.433
220902155013.736,28.340,10.261
220902155014.739,29.340,10.149
220902155015.741,30.340,11.357
220902155016.742,31.340,11.070
220
