datetime,sessionTime,RRi
220902154937.623,0.240,807.145
220902154938.624,1.260,807.032
220902154939.630,2.260,794.835
220902154940.639,3.260,801.291
220902154941.641,4.260,802.484
220902154942.647,5.280,794.699
220902154943.651,6.280,789.424
220902154944.653,7.280,783.902
220902154945.656,8.280,778.508
220902154946.658,9.280,769.533
220902154947.660,10.280,775.127
220902154948.664,11.300,781.987
220902154949.666,12.300,792.044
220902154950.670,13.300,787.822
220902154951.673,14.300,798.097
220902154952.674,15.300,815.629
220902154953.679,16.300,821.523
220902154954.680,17.300,798.613
220902154955.681,18.300,798.186
220902154956.681,19.300,803.900
220902154957.688,20.320,815.866
220902154958.690,21.320,821.325
220902154959.691,22.320,816.215
220902155000.693,23.320,807.941
220902155001.697,24.320,804.893
220902155002.698,25.320,804.184
220902155003.700,26.320,811.438
220902155004.707,27.340,802.852
220902155005.716,28.340,812.617
220902155006.717,29.340,805.610
220902155007.721,3
