datetime,sessionTime,HR
220902154937.623,0.240,67
220902154938.624,1.260,67
220902154939.630,2.260,67
220902154940.639,3.260,67
220902154941.641,4.260,67
220902154942.647,5.280,67
220902154943.651,6.280,68
220902154944.653,7.280,68
220902154945.656,8.280,68
220902154946.657,9.280,68
220902154947.660,10.280,68
220902154948.664,11.300,68
220902154949.666,12.300,67
220902154950.670,13.300,67
220902154951.673,14.300,67
220902154952.674,15.300,67
220902154953.679,16.300,66
220902154954.680,17.300,67
220902154955.680,18.300,67
220902154956.681,19.300,67
220902154957.688,20.320,66
220902154958.690,21.320,66
220902154959.691,22.320,66
220902155000.693,23.320,67
220902155001.697,24.320,67
220902155002.698,25.320,67
220902155003.700,26.320,66
220902155004.707,27.340,66
220902155005.716,28.340,66
220902155006.717,29.340,66
220902155007.720,30.340,66
220902155008.723,31.340,65
220902155009.725,32.360,66
220902155010.730,33.360,66
220902155011.730,34.360,65
220902155012.731,35.360,66
220902155013.736,36.360,66
220902155014.739,37.360,66
220902155015.741,38.360,66
220902155016.742,39.360,66
220902155017.747,40.380,67
220902155018.748,41.380,66
220902155019.751,42.380,66
220902155020.755,43.380,66
220902155021.756,44.380,67
220902155022.758,45.380,67
220902155023.762,46.380,67
220902155024.766,47.400,68
220902155025.768,48.400,67
220902155026.772,49.400,66
220902155027.774,50.400,67
220902155028.789,51.420,67
220902155029.791,52.420,67
220902155030.795,53.420,67
220902155031.797,54.420,66
