datetime,sessionTime,velPosX,velPosY,velPosZ,accPosX,accPosY,accPosZ,velQ0,velQi,velQj,velQk,accQ0,accQi,accQj,accQk,velPitch,velYaw,velRoll,accPitch,accYaw,accRoll
220902145550.770,2.620,0.0061,-0.0038,0.0032,0.0007,-0.0006,0.0013,0.9991,0.0163,-0.0375,-0.0113,0.9999,0.0025,-0.0117,-0.0090,2.1614,4.2166,0.7024,0.5637,1.2260,0.3936
220902145550.770,2.720,0.0061,-0.0038,0.0032,0.0007,-0.0006,0.0013,0.9991,0.0163,-0.0375,-0.0113,0.9999,0.0025,-0.0117,-0.0090,2.1614,4.2166,0.7024,0.5637,1.2260,0.3936
220902145550.770,2.820,0.0061,-0.0038,0.0032,0.0007,-0.0006,0.0013,0.9991,0.0163,-0.0375,-0.0113,0.9999,0.0025,-0.0117,-0.0090,2.1614,4.2166,0.7024,0.5637,1.2260,0.3936
220902145550.973,2.920,0.0004,-0.0014,-0.0065,-0.0018,0.0011,-0.0063,0.9997,0.0040,0.0236,-0.0025,0.9993,-0.0062,0.0355,0.0026,0.5111,2.7213,0.1585,0.7699,1.3824,0.0788
220902145550.973,3.020,0.0004,-0.0014,-0.0065,-0.0018,0.0011,-0.0063,0.9997,0.0040,0.0236,-0.0025,0.9993,-0.0062,0.0355,0.0026,0.5111,2.7213,0.1585,0.7699,1.3824,0.0788
220902145551.171,3.120,-0.0097,-0.0156,-0.0237,-0.0086,-0.0094,-0.0099,0.9879,0.0621,0.1379,-0.0340,0.9957,0.0428,0.0808,-0.0154,8.1122,15.9108,0.2999,5.1816,9.3064,1.0349
220902145551.171,3.220,-0.0097,-0.0156,-0.0237,-0.0086,-0.0094,-0.0099,0.9879,0.0621,0.1379,-0.0340,0.9957,0.0428,0.0808,-0.0154,8.1122,15.9108,0.2999,5.1816,9.3064,1.0349
220902145551.365,3.320,-0.0116,-0.0110,0.0000,0.0107,0.0008,0.0184,0.9965,0.0353,0.0685,-0.0323,0.9939,-0.0044,-0.1089,-0.0166,5.1198,8.3462,2.0393,0.8439,12.3484,0.4363
220902145551.365,3.420,-0.0116,-0.0110,0.0000,0.0107,0.0008,0.0184,0.9965,0.0353,0.0685,-0.0323,0.9939,-0.0044,-0.1089,-0.0166,5.1198,8.3462,2.0393,0.8439,12.3484,0.4363
220902145551.568,3.520,0.0047,0.0006,0.0124,0.0019,-0.0025,0.0019,0.9997,-0.0034,-0.0250,0.0058,0.9999,0.0093,-0.0108,-0.0068,0.7681,2.8865,0.0736,1.1463,1.0570,0.6969
220902145551.568,3.620,0.0047,0.0006,0.0124,0.0019,-0.0025,0.0019,0.9997,-0.0034,-0.0250,0.0058,0.9999,0.0093,-0.0108,-0.0068,0.7681,2.8865,0.0736,1.1463,1.0570,0.6969
220902145551.769,3.720,0.0066,0.0064,0.0080,-0.0016,0.0057,-0.0044,0.9996,-0.0129,-0.0099,0.0235,0.9995,-0.0087,0.0203,0.0205,3.0688,1.1076,0.1257,2.5279,2.4274,0.2273
220902145551.769,3.820,0.0066,0.0064,0.0080,-0.0016,0.0057,-0.0044,0.9996,-0.0129,-0.0099,0.0235,0.9995,-0.0087,0.0203,0.0205,3.0688,1.1076,0.1257,2.5279,2.4274,0.2273
220902145551.964,3.920,-0.0010,0.0160,-0.0014,-0.0046,-0.0007,-0.0040,0.9965,-0.0456,-0.0166,0.0684,1.0000,-0.0004,-0.0056,0.0072,9.4306,1.9057,0.0111,0.7148,0.6225,0.5991
220902145551.964,4.020,-0.0010,0.0160,-0.0014,-0.0046,-0.0007,-0.0040,0.9965,-0.0456,-0.0166,0.0684,1.0000,-0.0004,-0.0056,0.0072,9.4306,1.9057,0.0111,0.7148,0.6225,0.5991
220902145552.175,4.120,-0.0069,0.0022,-0.0213,-0.0008,0.0012,-0.0083,0.9999,0.0112,0.0027,-0.0106,0.9992,0.0226,0.0120,-0.0310,1.7333,0.2471,0.3437,0.9351,0.8557,0.0419
220902145552.176,4.220,-0.0069,0.0022,-0.0213,-0.0008,0.0012,-0.0083,0.9999,0.0112,0.0027,-0.0106,0.9992,0.0226,0.0120,-0.0310,1.7333,0.2471,0.3437,0.9351,0.8557,0.0419
