datetime,sessionTime,RRi
220902145548.888,0.940,739.242
220902145549.898,1.940,749.526
220902145550.907,2.960,741.986
220902145551.911,3.960,753.284
220902145552.927,4.980,744.655
220902145553.929,5.980,734.706
220902145554.931,6.980,749.743
220902145555.937,7.980,752.154
220902145556.945,9.000,768.511
220902145557.948,10.000,770.458
220902145558.949,11.000,766.517
220902145559.959,12.000,776.210
220902145600.970,13.020,763.943
220902145601.984,14.040,752.612
220902145602.992,15.040,750.295
220902145603.994,16.040,751.047
220902145604.995,17.040,753.924
220902145606.000,18.060,762.983
220902145607.011,19.060,758.531
220902145608.031,20.080,748.062
220902145609.045,21.100,736.419
220902145610.048,22.100,729.469
220902145611.066,23.120,726.152
220902145612.072,24.120,733.356
220902145613.079,25.120,738.595
220902145614.092,26.140,737.043
220902145615.093,27.140,748.960
220902145616.096,28.140,757.121
220902145617.101,29.160,762.886
220902145618.113,30.160,782.534
220902145619.119,31.160,783.415
220902145620.131,32.180,771.901
220902145621.135,33.180,762.877
220902145622.135,34.180,766.473
220902145623.139,35.180,775.704
220902145624.144,36.180,778.205
220902145625.147,37.200,777.652
220902145626.149,38.200,778.651
220902145627.149,39.200,788.395
220902145628.150,40.200,798.199
220902145629.156,41.200,799.278
220902145630.157,42.200,801.921
220902145631.178,43.220,790.602
220902145632.188,44.240,781.621
220902145633.199,45.240,781.902
220902145634.210,46.260,777.712
220902145635.223,47.280,771.316
220902145636.225,48.280,770.396
220902145637.230,49.280,762.726
220902145638.234,50.280,773.013
220902145639.239,51.280,783.946
220902145640.252,52.300,771.215
220902145641.278,53.320,781.010
220902145642.295,54.340,765.604
220902145643.312,55.360,768.716
220902145644.314,56.360,774.061
220902145645.321,57.360,759.449
220902145646.331,58.380,749.902
220902145647.344,59.400,770.909
220902145648.346,60.400,758.129
220902145649.358,61.400,764.992
220902145650.361,62.400,776.648
220902145651.368,63.420,776.527
220902145652.368,64.420,787.302
220902145653.373,65.420,772.752
220902145654.388,66.440,760.295
220902145655.391,67.440,743.210
220902145656.389,68.440,747.231
220902145657.401,69.460,752.386
220902145658.418,70.460,749.767
220902145659.435,71.480,758.654
220902145700.459,72.500,775.271
220902145701.478,73.520,767.526
220902145702.479,74.520,783.057
220902145703.485,75.540,782.636
220902145704.522,76.560,794.256
220902145705.544,77.600,811.896
220902145706.553,78.600,820.413
220902145707.556,79.600,823.365
220902145708.579,80.620,824.047
220902145709.580,81.620,824.333
220902145710.586,82.640,816.659
220902145711.617,83.660,820.628
220902145712.617,84.660,824.598
220902145713.640,85.680,818.041
220902145714.646,86.700,815.195
220902145715.660,87.700,831.792
220902145716.685,88.740,839.205
220902145717.694,89.740,840.794
220902145718.694,90.740,846.388
220902145719.706,91.760,847.037
220902145720.718,92.760,839.662
220902145721.734,93.780,842.687
220902145722.749,94.800,830.209
220902145723.780,95.820,821.619
220902145724.796,96.840,812.037
220902145725.795,97.840,824.106
220902145726.801,98.840,832.459
220902145727.806,99.860,816.983
220902145728.834,100.880,825.466
220902145729.833,101.880,817.464
220902145730.833,102.880,827.501
220902145731.843,103.900,827.286
220902145732.857,104.900,843.110
220902145733.857,105.900,844.257
220902145734.860,106.900,842.478
220902145735.867,107.920,859.337
220902145736.869,108.920,853.179
220902145737.884,109.940,862.081
220902145738.891,110.940,869.959
220902145739.930,111.980,880.393
220902145740.927,112.980,891.936
220902145741.930,113.980,911.312
220902145742.934,114.980,923.343
220902145743.959,116.000,920.839
220902145745.000,117.040,893.991
220902145746.009,118.060,895.994
220902145747.030,119.080,900.655
