datetime,sessionTime,RMSSD
220902145557.948,0.940,10.365
220902145557.948,1.940,10.365
220902145558.949,2.960,9.870
220902145559.959,3.960,10.076
220902145600.970,4.980,10.202
220902145601.984,5.980,10.491
220902145602.992,6.980,9.983
220902145603.994,7.980,8.637
220902145604.995,9.000,8.653
220902145606.000,10.000,7.367
220902145607.011,11.000,7.487
220902145608.031,12.000,8.155
220902145609.045,13.020,8.433
220902145610.048,14.040,7.731
220902145611.066,15.040,6.836
220902145612.073,16.040,7.204
220902145613.079,17.040,7.408
220902145614.092,18.060,7.364
220902145615.093,19.060,7.803
220902145616.096,20.080,8.130
220902145617.102,21.100,7.590
220902145618.113,22.100,9.244
220902145619.119,23.120,8.953
220902145620.132,24.120,9.678
220902145621.135,25.120,9.846
220902145622.135,26.140,9.764
220902145623.140,27.140,10.224
220902145624.145,28.140,9.458
220902145625.147,29.160,9.060
220902145626.149,30.160,8.860
220902145627.150,31.160,6.794
220902145628.150,32.180,7.533
220902145629.156,33.180,6.492
220902145630.158,34.180,5.820
220902145631.178,35.180,6.832
220902145632.188,36.180,6.795
220902145633.199,37.200,6.744
220902145634.210,38.200,6.885
220902145635.224,39.200,7.200
220902145636.225,40.200,6.433
220902145637.230,41.200,6.102
220902145638.234,42.200,6.991
220902145639.239,43.220,7.834
220902145640.252,44.240,8.071
220902145641.278,45.240,8.176
220902145642.295,46.260,9.654
220902145643.312,47.280,9.609
220902145644.314,48.280,9.537
220902145645.321,49.280,10.705
220902145646.331,50.280,10.871
220902145647.344,51.280,12.468
220902145648.346,52.300,12.662
220902145649.358,53.320,12.147
220902145650.361,54.340,12.328
220902145651.369,55.360,11.208
220902145652.368,56.360,11.723
220902145653.374,57.360,12.561
220902145654.388,58.380,12.300
220902145655.391,59.400,13.176
220902145656.389,60.400,11.241
220902145657.402,61.400,10.544
220902145658.418,62.400,10.330
220902145659.436,63.420,10.019
220902145700.459,64.420,11.448
220902145701.478,65.420,11.173
220902145702.480,66.440,11.318
220902145703.485,67.440,10.530
220902145704.522,68.440,9.667
220902145705.544,69.460,11.235
220902145706.554,70.460,11.460
220902145707.556,71.480,11.469
220902145708.579,72.500,11.083
220902145709.580,73.520,9.600
220902145710.587,74.520,9.593
220902145711.617,75.540,8.184
220902145712.617,76.560,8.289
220902145713.640,77.600,7.648
220902145714.646,78.600,4.981
220902145715.661,79.600,6.882
220902145716.685,80.620,7.245
220902145717.694,81.620,7.261
220902145718.694,82.640,7.496
220902145719.706,83.660,7.049
220902145720.718,84.660,7.348
220902145721.734,85.680,7.298
220902145722.749,86.700,8.110
220902145723.781,87.700,8.549
220902145724.796,88.740,7.258
220902145725.795,89.740,7.922
220902145726.801,90.740,8.380
220902145727.806,91.760,9.662
220902145728.834,92.760,10.065
220902145729.833,93.780,10.118
220902145730.834,94.800,10.609
220902145731.843,95.820,9.760
220902145732.857,96.840,10.718
220902145733.857,97.840,10.238
220902145734.860,98.840,9.433
220902145735.867,99.860,10.622
220902145736.869,100.880,9.509
220902145737.884,101.880,9.552
220902145738.891,102.880,9.540
220902145739.930,103.900,9.588
220902145740.927,104.900,10.331
220902145741.930,105.900,10.982
220902145742.936,106.900,11.685
220902145743.959,107.920,11.700
220902145745.000,108.920,13.616
220902145746.009,109.940,13.477
220902145747.030,110.940,13.238
220902145747.056,111.980,13.238
220902145747.056,112.980,13.238
220902145747.056,113.980,13.238
220902145747.056,114.980,13.238
220902145747.056,116.000,13.238
220902145747.056,117.040,13.238
220902145747.056,118.060,13.238
220902145747.056,119.080,13.238
