datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902145550.569,2.620,-1.9686,1.6443,-1.9413,0.9779,-0.0814,0.1913,0.0221,350.3532,22.0763,0.7022
220902145550.678,2.720,-1.9632,1.6411,-1.9394,0.9836,-0.0678,0.1660,0.0203,351.9509,19.0857,1.0110
220902145550.764,2.820,-1.9571,1.6373,-1.9362,0.9903,-0.0506,0.1294,0.0093,354.1123,14.8692,0.3085
220902145550.865,2.920,-1.9549,1.6348,-1.9364,0.9922,-0.0398,0.1177,0.0054,355.3933,13.5303,0.0713
220902145550.971,3.020,-1.9545,1.6335,-1.9430,0.9893,-0.0355,0.1412,0.0043,355.9044,16.2516,359.9128
220902145551.069,3.120,-1.9555,1.6273,-1.9568,0.9801,-0.0124,0.1980,-0.0101,358.8350,22.8561,358.5779
220902145551.170,3.220,-1.9652,1.6117,-1.9805,0.9413,0.0539,0.3318,-0.0293,6.9471,38.7669,358.8778
220902145551.277,3.320,-1.9875,1.5999,-1.9989,0.8644,0.0870,0.4932,-0.0449,11.2231,59.4615,0.4808
220902145551.364,3.420,-1.9990,1.5890,-1.9989,0.8231,0.1301,0.5494,-0.0612,16.3429,67.8077,2.5201
220902145551.477,3.520,-1.9963,1.5921,-1.9884,0.8331,0.1136,0.5385,-0.0557,14.4285,65.9782,1.7496
220902145551.564,3.620,-1.9916,1.5926,-1.9760,0.8470,0.1089,0.5179,-0.0498,13.6604,63.0917,1.6760
220902145551.671,3.720,-1.9835,1.5933,-1.9637,0.8629,0.1048,0.4922,-0.0468,13.1195,59.5567,1.3229
220902145551.767,3.820,-1.9768,1.5996,-1.9557,0.8698,0.0826,0.4854,-0.0318,10.0506,58.4491,1.4486
220902145551.865,3.920,-1.9732,1.6164,-1.9532,0.8781,0.0137,0.4783,0.0009,1.3348,57.1660,0.8385
220902145551.962,4.020,-1.9741,1.6324,-1.9546,0.8835,-0.0591,0.4631,0.0393,351.9042,55.2603,0.8496
220902145552.078,4.120,-1.9802,1.6334,-1.9676,0.8860,-0.0790,0.4540,0.0516,349.2357,54.1575,1.1513
220902145552.173,4.220,-1.9871,1.6355,-1.9889,0.8861,-0.0641,0.4566,0.0476,350.9691,54.4046,1.4950
220902145552.272,4.320,-1.9856,1.6372,-2.0033,0.9140,-0.0639,0.3984,0.0420,351.3593,46.9947,1.5054
220902145552.370,4.420,-1.9796,1.6352,-2.0097,0.9610,-0.0636,0.2668,0.0354,351.8868,30.8891,1.9712
220902145552.464,4.520,-1.9789,1.6306,-2.0105,0.9924,-0.0590,0.1063,0.0205,353.0202,12.1248,1.6263
220902145552.568,4.620,-1.9879,1.6245,-2.0100,0.9970,-0.0492,-0.0578,0.0133,354.4576,353.2765,1.8588
220902145552.673,4.720,-2.0056,1.6229,-2.0227,0.9831,-0.0576,-0.1733,0.0079,353.6572,339.8881,2.0472
220902145552.775,4.820,-2.0186,1.6298,-2.0442,0.9750,-0.0936,-0.2016,0.0020,349.5332,336.4132,2.4206
220902145552.871,4.920,-2.0334,1.6420,-2.0687,0.9675,-0.1639,-0.1918,-0.0152,341.1529,337.2399,2.0216
220902145552.964,5.020,-2.0524,1.6545,-2.0911,0.9578,-0.2340,-0.1656,-0.0217,332.9055,339.8293,2.3089
220902145553.070,5.120,-2.0787,1.6652,-2.1083,0.9388,-0.3119,-0.1439,-0.0241,323.6598,341.5307,3.1720
220902145553.171,5.220,-2.1015,1.6715,-2.1188,0.9230,-0.3597,-0.1332,-0.0321,317.7356,342.4838,2.8349
220902145553.274,5.320,-2.1161,1.6756,-2.1235,0.9143,-0.3934,-0.0937,-0.0238,313.6310,347.2164,2.5105
220902145553.370,5.420,-2.1173,1.6749,-2.1200,0.9185,-0.3914,-0.0532,-0.0158,313.8878,352.9185,1.0488
220902145553.479,5.520,-2.1152,1.6748,-2.1124,0.9194,-0.3913,0.0387,0.0034,313.9613,5.6684,358.0154
220902145553.565,5.620,-2.1128,1.6752,-2.1019,0.9090,-0.3873,0.1522,0.0242,314.6512,21.5424,353.9584
220902145553.663,5.720,-2.1059,1.6741,-2.0856,0.8922,-0.3695,0.2535,0.0563,316.5399,34.4656,353.1307
220902145553.762,5.820,-2.0945,1.6711,-2.0692,0.8779,-0.3308,0.3366,0.0807,320.5725,44.1137,353.9779
220902145553.875,5.920,-2.0854,1.6692,-2.0496,0.8392,-0.2923,0.4424,0.1207,323.3214,56.9194,355.9933
220902145553.968,6.020,-2.0815,1.6690,-2.0283,0.7869,-0.2832,0.5253,0.1568,322.3813,68.7046,356.3273
220902145554.079,6.120,-2.0737,1.6682,-2.0096,0.7490,-0.2666,0.5789,0.1813,322.4662,76.3122,357.3146
