datetime,sessionTime,HR
220902145548.888,0.940,73
220902145549.898,1.940,72
220902145550.907,2.960,73
220902145551.911,3.960,72
220902145552.926,4.980,73
220902145553.929,5.980,73
220902145554.931,6.980,73
220902145555.937,7.980,73
220902145556.945,9.000,72
220902145557.948,10.000,72
220902145558.949,11.000,72
220902145559.959,12.000,72
220902145600.970,13.020,72
220902145601.984,14.040,73
220902145602.992,15.040,73
220902145603.994,16.040,73
220902145604.995,17.040,73
220902145606.000,18.060,72
220902145607.011,19.060,72
220902145608.031,20.080,73
220902145609.045,21.100,73
220902145610.048,22.100,74
220902145611.064,23.120,74
220902145612.072,24.120,74
220902145613.079,25.120,73
220902145614.092,26.140,73
220902145615.093,27.140,73
220902145616.096,28.140,73
220902145617.101,29.160,72
220902145618.113,30.160,71
220902145619.118,31.160,71
220902145620.131,32.180,72
220902145621.135,33.180,72
220902145622.135,34.180,72
220902145623.139,35.180,72
220902145624.144,36.180,71
220902145625.147,37.200,71
220902145626.149,38.200,71
220902145627.149,39.200,71
220902145628.150,40.200,70
220902145629.156,41.200,70
220902145630.157,42.200,70
220902145631.177,43.220,70
220902145632.188,44.240,71
220902145633.199,45.240,71
220902145634.210,46.260,71
220902145635.223,47.280,72
220902145636.225,48.280,72
220902145637.230,49.280,72
220902145638.234,50.280,71
220902145639.239,51.280,71
220902145640.252,52.300,72
220902145641.278,53.320,71
220902145642.295,54.340,72
220902145643.312,55.360,72
220902145644.314,56.360,71
220902145645.321,57.360,72
220902145646.331,58.380,73
220902145647.344,59.400,72
220902145648.345,60.400,72
220902145649.358,61.400,72
220902145650.361,62.400,71
220902145651.368,63.420,71
220902145652.368,64.420,71
220902145653.373,65.420,72
220902145654.388,66.440,72
220902145655.391,67.440,73
220902145656.389,68.440,73
220902145657.401,69.460,72
220902145658.418,70.460,73
220902145659.435,71.480,72
220902145700.459,72.500,71
220902145701.478,73.520,72
220902145702.479,74.520,71
220902145703.484,75.540,71
220902145704.520,76.560,71
220902145705.543,77.600,70
220902145706.553,78.600,70
220902145707.556,79.600,70
220902145708.578,80.620,70
220902145709.580,81.620,70
220902145710.586,82.640,70
220902145711.617,83.660,70
220902145712.617,84.660,70
220902145713.639,85.680,70
220902145714.646,86.700,70
220902145715.660,87.700,70
220902145716.685,88.740,69
220902145717.694,89.740,69
220902145718.694,90.740,69
220902145719.706,91.760,69
220902145720.718,92.760,69
220902145721.734,93.780,69
220902145722.749,94.800,70
220902145723.780,95.820,70
220902145724.795,96.840,71
220902145725.795,97.840,70
220902145726.801,98.840,70
220902145727.805,99.860,70
220902145728.833,100.880,70
220902145729.833,101.880,70
220902145730.833,102.880,70
220902145731.843,103.900,70
220902145732.856,104.900,69
220902145733.857,105.900,69
220902145734.860,106.900,69
220902145735.866,107.920,69
220902145736.869,108.920,69
220902145737.884,109.940,68
220902145738.891,110.940,68
220902145739.930,111.980,68
220902145740.927,112.980,67
220902145741.930,113.980,67
220902145742.934,114.980,66
220902145743.959,116.000,66
220902145745.000,117.040,67
220902145746.008,118.060,67
220902145747.029,119.080,67
