datetime,sessionTime,SDNN
220902145557.926,9.000,9.821
220902145607.920,19.060,8.712
220902145617.921,29.160,12.467
220902145627.916,39.200,8.444
220902145637.914,49.280,12.912
220902145647.910,59.400,9.616
220902145657.905,69.460,13.704
220902145707.916,79.600,26.308
220902145717.946,89.740,8.565
220902145727.946,99.860,12.168
220902145737.952,109.940,16.113
