datetime,sessionTime,RRi
220902162649.592,0.220,777.057
220902162650.597,1.220,783.499
220902162651.600,2.220,780.483
220902162652.602,3.220,781.575
220902162653.605,4.220,772.975
220902162654.607,5.240,762.707
220902162655.611,6.240,762.959
220902162656.612,7.240,769.048
220902162657.614,8.240,754.681
220902162658.617,9.240,740.828
220902162659.620,10.240,737.642
220902162700.622,11.240,742.482
220902162701.623,12.240,729.796
220902162702.624,13.240,734.166
220902162703.628,14.260,728.217
220902162704.631,15.260,735.124
220902162705.633,16.260,723.737
220902162706.636,17.260,733.316
220902162707.639,18.260,733.808
