datetime,sessionTime,HR
220902161204.967,0.920,71
220902161205.967,1.920,71
220902161206.981,2.940,71
220902161207.982,3.940,71
220902161208.984,4.940,71
220902161209.989,5.940,71
220902161210.990,6.940,71
220902161211.992,7.940,71
220902161212.995,8.960,70
220902161213.999,9.960,70
220902161215.001,10.960,70
220902161216.003,11.960,70
220902161217.008,12.960,70
220902161218.010,13.960,69
220902161219.015,14.980,69
220902161220.015,15.980,68
220902161221.016,16.980,68
220902161222.022,17.980,68
220902161223.022,18.980,68
220902161224.025,19.980,68
220902161225.027,20.980,68
220902161226.032,21.980,68
220902161227.034,23.000,68
220902161228.037,24.000,68
220902161229.040,25.000,69
220902161230.041,26.000,69
220902161231.056,27.020,69
220902161232.058,28.020,69
220902161233.061,29.020,69
220902161234.066,30.020,69
220902161235.067,31.020,70
220902161236.069,32.020,69
220902161237.074,33.040,69
220902161238.087,34.040,69
220902161239.091,35.040,69
220902161240.094,36.060,70
220902161241.099,37.060,70
220902161242.099,38.060,70
220902161243.100,39.060,70
220902161244.104,40.060,70
220902161245.107,41.060,70
220902161246.108,42.060,70
220902161247.108,43.060,70
220902161248.111,44.060,70
220902161249.113,45.060,70
220902161250.118,46.080,70
220902161251.120,47.080,70
220902161252.134,48.100,70
220902161253.138,49.100,69
220902161254.143,50.100,69
220902161255.147,51.100,69
220902161256.161,52.120,70
220902161257.161,53.120,70
220902161258.165,54.120,70
220902161259.168,55.120,70
220902161300.171,56.120,71
220902161301.173,57.140,71
220902161302.175,58.140,72
220902161303.178,59.140,72
220902161304.181,60.140,72
220902161305.181,61.140,73
220902161306.183,62.140,73
220902161307.186,63.140,72
220902161308.190,64.140,72
220902161309.194,65.160,73
220902161310.195,66.160,72
