datetime,sessionTime,RMSSD
220902161214.000,0.920,5.847
220902161214.000,1.920,5.847
220902161215.001,2.940,7.539
220902161216.003,3.940,8.119
220902161217.008,4.940,9.407
220902161218.010,5.940,9.441
220902161219.015,6.940,9.790
220902161220.015,7.940,12.099
220902161221.017,8.960,12.369
220902161222.022,9.960,12.687
220902161223.022,10.960,12.046
220902161224.025,11.960,12.067
220902161225.027,12.960,13.015
220902161226.032,13.960,11.989
220902161227.034,14.980,11.921
220902161228.037,15.980,11.867
220902161229.040,16.980,10.348
220902161230.041,17.980,10.188
220902161231.056,18.980,10.072
220902161232.058,19.980,10.478
220902161233.061,20.980,10.758
220902161234.066,21.980,9.190
220902161235.067,23.000,9.441
220902161236.069,24.000,12.274
220902161237.074,25.000,12.074
220902161238.087,26.000,11.379
220902161239.091,27.020,11.511
220902161240.095,28.020,12.200
220902161241.099,29.020,12.342
220902161242.100,30.020,11.275
220902161243.100,31.020,11.232
220902161244.105,32.020,11.777
220902161245.108,33.040,9.018
220902161246.108,34.040,9.715
220902161247.108,35.040,9.770
220902161248.111,36.060,9.908
220902161249.113,37.060,9.501
220902161250.118,38.060,9.553
220902161251.120,39.060,10.483
220902161252.134,40.060,10.639
220902161253.138,41.060,11.551
220902161254.143,42.060,11.684
220902161255.147,43.060,11.098
220902161256.161,44.060,11.673
220902161257.162,45.060,11.141
220902161258.165,46.080,10.503
220902161259.168,47.080,10.403
220902161300.171,48.100,9.817
220902161301.173,49.100,10.601
220902161302.175,50.100,8.783
220902161303.178,51.100,9.026
220902161304.182,52.120,9.028
220902161305.181,53.120,9.665
220902161306.183,54.120,10.167
220902161307.187,55.120,11.348
220902161308.190,56.120,11.070
220902161309.194,57.140,10.459
220902161310.196,58.140,10.061
220902161310.352,59.140,10.061
220902161310.353,60.140,10.061
220902161310.353,61.140,10.061
220902161310.353,62.140,10.061
220902161310.353,63.140,10.061
220902161310.353,64.140,10.061
220902161310.353,65.160,10.061
220902161310.353,66.160,10.061
