datetime,sessionTime,RRi
220902161204.968,0.920,777.311
220902161205.967,1.920,771.711
220902161206.981,2.940,773.905
220902161207.982,3.940,782.379
220902161208.984,4.940,785.458
220902161209.989,5.940,785.655
220902161210.990,6.940,784.863
220902161211.992,7.940,790.521
220902161212.995,8.960,792.190
220902161213.999,9.960,804.630
220902161215.001,10.960,819.964
220902161216.003,11.960,810.658
220902161217.008,12.960,827.243
220902161218.010,13.960,831.149
220902161219.015,14.980,838.922
220902161220.015,15.980,860.261
220902161221.017,16.980,850.691
220902161222.022,17.980,859.317
220902161223.022,18.980,855.850
220902161224.025,19.980,871.333
220902161225.027,20.980,853.989
220902161226.032,21.980,860.622
220902161227.034,23.000,859.807
220902161228.037,24.000,852.817
220902161229.040,25.000,840.498
220902161230.041,26.000,832.626
220902161231.056,27.020,839.926
220902161232.058,28.020,830.600
220902161233.061,29.020,847.724
220902161234.066,30.020,843.323
220902161235.067,31.020,834.042
220902161236.069,32.020,857.586
220902161237.074,33.040,855.331
220902161238.087,34.040,857.581
220902161239.091,35.040,848.143
220902161240.094,36.060,833.987
220902161241.099,37.060,823.112
220902161242.100,38.060,814.959
220902161243.100,39.060,818.210
220902161244.104,40.060,832.323
220902161245.107,41.060,826.168
220902161246.108,42.060,837.236
220902161247.108,43.060,833.402
220902161248.111,44.060,822.746
220902161249.113,45.060,834.120
220902161250.118,46.080,822.848
220902161251.120,47.080,838.152
220902161252.134,48.100,831.811
220902161253.138,49.100,851.339
220902161254.143,50.100,859.438
220902161255.147,51.100,857.896
220902161256.161,52.120,846.382
220902161257.162,53.120,848.465
220902161258.165,54.120,846.193
220902161259.168,55.120,835.791
220902161300.171,56.120,824.496
220902161301.173,57.140,810.924
220902161302.175,58.140,802.907
220902161303.178,59.140,792.683
220902161304.181,60.140,794.323
220902161305.181,61.140,778.841
220902161306.183,62.140,788.531
220902161307.186,63.140,803.828
220902161308.190,64.140,796.609
220902161309.194,65.160,793.597
220902161310.195,66.160,804.118
