datetime,sessionTime,SDNN
220902161214.016,9.960,9.624
220902161224.011,18.980,20.369
220902161234.009,29.020,12.632
220902161244.009,39.060,15.639
220902161254.015,49.100,9.155
220902161304.014,59.140,23.085
