datetime,sessionTime,HR
220902153953.884,0.120,70
220902153954.884,1.120,69
220902153955.887,2.120,70
220902153956.898,3.120,70
220902153957.902,4.140,70
220902153958.905,5.140,70
220902153959.909,6.140,71
220902154000.909,7.140,71
220902154001.912,8.140,70
220902154002.913,9.140,71
220902154003.916,10.140,71
220902154004.919,11.160,71
220902154005.921,12.160,70
220902154006.926,13.160,70
220902154007.927,14.160,70
220902154008.931,15.160,70
220902154009.933,16.160,69
220902154010.935,17.160,69
220902154011.936,18.160,69
220902154012.941,19.180,69
220902154013.944,20.180,69
220902154014.945,21.180,70
220902154015.949,22.180,69
220902154016.951,23.180,68
220902154017.953,24.180,68
220902154018.955,25.180,68
220902154019.959,26.200,68
220902154020.961,27.200,69
220902154021.966,28.200,68
220902154022.968,29.200,69
220902154023.971,30.200,69
220902154024.973,31.200,68
220902154025.976,32.200,69
220902154026.979,33.220,69
220902154027.983,34.220,69
220902154028.985,35.220,69
