datetime,sessionTime,RMSSD
220902154002.914,0.120,8.223
220902154002.914,1.120,8.223
220902154003.916,2.120,7.507
220902154004.919,3.120,5.230
220902154005.921,4.140,7.184
220902154006.926,5.140,8.397
220902154007.927,6.140,8.272
220902154008.931,7.140,7.276
220902154009.933,8.140,9.222
220902154010.935,9.140,9.082
220902154011.936,10.140,8.933
220902154012.941,11.160,8.900
220902154013.944,12.160,8.928
220902154014.945,13.160,7.629
220902154015.949,14.160,7.122
220902154016.951,15.160,8.358
220902154017.953,16.160,8.635
220902154018.955,17.160,7.132
220902154019.959,18.160,7.181
220902154020.961,19.180,8.042
220902154021.966,20.180,9.274
220902154022.968,21.180,9.921
220902154023.971,22.180,10.251
220902154024.973,23.180,10.095
220902154025.976,24.180,9.106
220902154026.979,25.180,8.683
220902154027.983,26.200,8.305
220902154028.985,27.200,8.422
220902154029.335,28.200,8.422
220902154029.335,29.200,8.422
220902154029.335,30.200,8.422
220902154029.335,31.200,8.422
220902154029.335,32.200,8.422
220902154029.335,33.220,8.422
220902154029.335,34.220,8.422
220902154029.335,35.220,8.422
