datetime,sessionTime,ExciteOMeter
220902154029.336,0.120,0.62674
220902154029.336,1.120,0.53394
220902154029.336,2.120,0.79967
220902154029.336,3.120,0.88820
220902154029.336,4.140,0.84715
220902154029.336,5.140,0.66626
220902154029.336,6.140,0.74231
220902154029.336,7.140,0.91018
220902154029.336,8.140,0.54413
220902154029.336,9.140,0.58043
220902154029.336,10.140,0.61316
220902154029.336,11.160,0.62093
220902154029.336,12.160,0.56656
220902154029.336,13.160,0.73628
220902154029.336,14.160,0.80229
220902154029.336,15.160,0.55560
220902154029.336,16.160,0.34554
220902154029.336,17.160,0.60769
220902154029.336,18.160,0.60693
220902154029.336,19.180,0.45616
220902154029.336,20.180,0.23899
220902154029.336,21.180,0.22368
220902154029.336,22.180,0.12799
220902154029.336,23.180,0.06163
220902154029.336,24.180,0.12727
220902154029.336,25.180,0.22995
220902154029.336,26.200,0.32052
220902154029.336,27.200,0.35955
220902154029.336,28.200,0.28208
220902154029.336,29.200,0.33736
220902154029.336,30.200,0.40657
220902154029.336,31.200,0.34031
220902154029.336,32.200,0.34855
220902154029.336,33.220,0.34970
220902154029.336,34.220,0.38182
220902154029.336,35.220,0.34578
