datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902142632.760,2.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142632.857,2.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142632.960,2.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.060,2.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.161,2.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.258,2.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.362,2.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.460,2.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.565,2.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.659,2.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.760,3.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.863,3.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142633.961,3.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.064,3.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.161,3.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.261,3.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.360,3.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.478,3.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.565,3.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.661,3.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.762,4.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.861,4.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142634.960,4.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.061,4.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.162,4.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.266,4.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.363,4.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.460,4.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.560,4.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.658,4.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.762,5.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.860,5.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142635.962,5.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.063,5.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.162,5.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.260,5.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.366,5.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.464,5.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.561,5.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.659,5.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.766,6.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.864,6.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142636.958,6.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.060,6.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.162,6.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.259,6.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.363,6.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.458,6.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.564,6.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.674,6.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.763,7.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.858,7.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142637.958,7.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.058,7.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.164,7.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.264,7.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.364,7.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.464,7.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.565,7.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.658,7.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.762,8.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.864,8.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142638.962,8.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.059,8.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.162,8.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.261,8.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.361,8.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.462,8.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.563,8.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.663,8.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.761,9.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.861,9.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142639.964,9.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.065,9.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.166,9.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.261,9.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.363,9.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.467,9.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.569,9.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902142640.658,9.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
