datetime,sessionTime,RRi
220902142630.896,0.200,784.010
220902142631.898,1.220,795.403
220902142632.903,2.220,793.560
220902142633.906,3.220,790.058
220902142634.910,4.220,797.592
220902142635.916,5.220,782.931
220902142636.922,6.240,778.049
220902142637.922,7.240,783.934
220902142638.927,8.240,785.787
220902142639.930,9.240,785.446
220902142640.934,10.240,778.781
220902142641.941,11.260,781.901
220902142642.947,12.260,794.876
220902142643.947,13.260,791.103
220902142644.959,14.280,796.284
220902142645.964,15.280,808.538
220902142646.967,16.280,821.137
220902142647.974,17.280,834.025
220902142648.983,18.300,829.257
220902142649.987,19.300,823.722
220902142650.988,20.300,808.061
220902142651.993,21.300,821.537
220902142653.001,22.320,814.451
220902142654.019,23.320,835.060
220902142655.016,24.320,842.339
220902142656.022,25.340,859.319
220902142657.032,26.340,866.552
220902142658.036,27.340,857.155
