datetime,sessionTime,HR
220902142630.895,0.200,71
220902142631.898,1.220,70
220902142632.902,2.220,70
220902142633.906,3.220,70
220902142634.910,4.220,70
220902142635.916,5.220,70
220902142636.922,6.240,70
220902142637.921,7.240,70
220902142638.927,8.240,70
220902142639.930,9.240,70
220902142640.934,10.240,70
220902142641.941,11.260,70
220902142642.947,12.260,70
220902142643.947,13.260,70
220902142644.959,14.280,70
220902142645.964,15.280,69
220902142646.967,16.280,69
220902142647.974,17.280,68
220902142648.983,18.300,69
220902142649.987,19.300,69
220902142650.988,20.300,69
220902142651.993,21.300,69
220902142653.001,22.320,69
220902142654.019,23.320,68
220902142655.016,24.320,68
220902142656.022,25.340,68
220902142657.032,26.340,67
220902142658.035,27.340,68
