datetime,sessionTime,RMSSD
220902142639.930,0.200,7.297
220902142639.930,1.220,7.297
220902142640.934,2.220,6.615
220902142641.941,3.220,6.668
220902142642.947,4.220,7.862
220902142643.947,5.220,7.555
220902142644.959,6.240,6.015
220902142645.964,7.240,7.086
220902142646.967,8.240,8.000
220902142647.974,9.240,9.060
220902142648.983,10.240,9.197
220902142649.987,11.260,9.114
220902142650.988,12.260,10.451
220902142651.994,13.260,10.521
220902142653.001,14.280,10.710
220902142654.019,15.280,12.606
220902142655.017,16.280,12.170
220902142656.023,17.280,12.748
220902142657.032,18.300,12.242
220902142658.036,19.300,12.536
