datetime,sessionTime,RRi
220902160012.437,0.080,759.408
220902160013.439,1.100,769.857
220902160014.443,2.100,770.200
220902160015.452,3.100,777.712
220902160016.454,4.100,788.981
220902160017.458,5.100,776.149
220902160018.462,6.120,790.952
220902160019.463,7.120,791.646
220902160020.467,8.120,790.480
220902160021.470,9.120,791.424
220902160022.485,10.140,790.571
220902160023.488,11.140,797.631
220902160024.491,12.140,789.982
220902160025.493,13.140,795.061
220902160026.494,14.140,798.483
220902160027.498,15.140,787.975
220902160028.503,16.160,767.037
220902160029.518,17.180,770.916
