datetime,sessionTime,HR
220902154457.019,0.620,69
220902154458.022,1.620,69
220902154459.031,2.620,69
220902154500.037,3.640,69
220902154501.038,4.640,69
220902154502.041,5.640,69
220902154503.046,6.640,69
220902154504.046,7.640,69
220902154505.050,8.640,69
220902154506.053,9.660,69
220902154507.054,10.660,69
220902154508.057,11.660,70
220902154509.061,12.660,69
220902154510.063,13.660,69
220902154511.065,14.660,69
220902154512.066,15.660,68
220902154513.071,16.660,69
220902154514.083,17.680,68
220902154515.087,18.680,68
220902154516.090,19.680,68
220902154517.094,20.680,69
220902154518.096,21.700,69
220902154519.097,22.700,70
220902154520.103,23.700,70
220902154521.105,24.700,69
220902154522.106,25.700,69
220902154523.111,26.700,69
220902154524.112,27.700,69
220902154525.115,28.720,69
220902154526.128,29.720,69
220902154527.130,30.720,68
220902154528.136,31.740,67
220902154529.136,32.740,67
220902154530.138,33.740,67
220902154531.142,34.740,66
220902154532.146,35.740,67
