datetime,sessionTime,RMSSD
220902154506.054,0.620,6.476
220902154506.054,1.620,6.476
220902154507.054,2.620,7.723
220902154508.057,3.640,8.378
220902154509.061,4.640,8.509
220902154510.063,5.640,8.346
220902154511.066,6.640,7.765
220902154512.067,7.640,9.054
220902154513.071,8.640,9.171
220902154514.084,9.660,9.407
220902154515.087,10.660,9.959
220902154516.090,11.660,8.963
220902154517.094,12.660,8.942
220902154518.097,13.660,11.411
220902154519.098,14.660,12.193
220902154520.103,15.660,12.843
220902154521.105,16.660,13.020
220902154522.106,17.680,14.442
220902154523.111,18.680,14.265
220902154524.112,19.680,13.856
220902154525.115,20.680,13.984
220902154526.128,21.700,13.720
220902154527.130,22.700,11.991
220902154528.136,23.700,11.659
220902154529.137,24.700,10.631
220902154530.138,25.700,10.634
220902154531.142,26.700,11.539
220902154532.146,27.700,11.910
220902154532.507,28.720,11.910
220902154532.507,29.720,11.910
220902154532.507,30.720,11.910
220902154532.507,31.740,11.910
220902154532.507,32.740,11.910
220902154532.507,33.740,11.910
220902154532.507,34.740,11.910
220902154532.507,35.740,11.910
