datetime,sessionTime,RRi
220902154457.019,0.620,819.248
220902154458.022,1.620,822.608
220902154459.031,2.620,811.760
220902154500.037,3.640,812.461
220902154501.038,4.640,817.568
220902154502.041,5.640,830.098
220902154503.046,6.640,826.527
220902154504.046,7.640,830.611
220902154505.051,8.640,827.811
220902154506.054,9.660,833.065
220902154507.054,10.660,819.998
220902154508.057,11.660,805.418
220902154509.061,12.660,809.921
220902154510.063,13.660,811.142
220902154511.065,14.660,819.669
220902154512.066,15.660,834.088
220902154513.071,16.660,828.099
220902154514.083,17.680,834.975
220902154515.087,18.680,846.104
220902154516.090,19.680,845.043
220902154517.094,20.680,830.583
220902154518.097,21.700,808.844
220902154519.098,22.700,795.896
220902154520.103,23.700,781.094
220902154521.105,24.700,796.876
220902154522.106,25.700,816.556
220902154523.111,26.700,815.276
220902154524.112,27.700,810.766
220902154525.115,28.720,816.530
220902154526.128,29.720,828.498
220902154527.130,30.720,837.017
220902154528.136,31.740,846.856
220902154529.136,32.740,850.458
220902154530.138,33.740,866.258
220902154531.142,34.740,890.088
220902154532.146,35.740,881.141
