datetime,sessionTime,SDNN
220902151755.573,9.740,12.309
220902151805.577,19.820,7.721
220902151815.579,29.880,10.457
220902151825.587,39.960,8.707
220902151835.587,49.000,10.934
220902151845.587,59.080,11.178
220902151855.604,69.180,9.643
