datetime,sessionTime,RRi
220902151746.233,0.620,836.423
220902151747.262,1.660,831.026
220902151748.261,2.660,842.515
220902151749.281,3.680,831.662
220902151750.302,4.700,826.760
220902151751.305,5.700,822.522
220902151752.308,6.700,818.920
220902151753.309,7.700,811.261
220902151754.328,8.720,803.627
220902151755.342,9.740,811.891
220902151756.359,10.760,814.153
220902151757.366,11.760,808.116
220902151758.377,12.780,798.062
220902151759.381,13.780,802.281
220902151800.387,14.780,804.252
220902151801.390,15.780,795.672
220902151802.406,16.800,803.638
220902151803.407,17.800,816.319
220902151804.428,18.820,811.110
220902151805.431,19.820,820.173
220902151806.432,20.820,807.802
220902151807.434,21.820,816.083
220902151808.436,22.840,801.206
220902151809.437,23.840,802.669
220902151810.440,24.840,792.147
220902151811.444,25.840,795.466
220902151812.443,26.840,807.791
220902151813.445,27.840,814.947
220902151814.464,28.860,820.797
220902151815.491,29.880,822.174
220902151816.504,30.900,809.150
220902151817.509,31.900,808.863
220902151818.525,32.920,824.295
220902151819.527,33.920,826.755
220902151820.529,34.920,828.801
220902151821.531,35.920,826.752
220902151822.539,36.940,832.025
220902151823.543,37.940,833.598
220902151824.561,38.960,833.200
220902151825.563,39.960,830.188
220902151826.574,40.960,829.587
220902151827.579,41.980,830.519
220902151828.584,42.980,820.941
220902151829.584,43.980,821.535
220902151830.589,44.980,809.354
220902151831.592,45.980,812.546
220902151832.593,46.980,828.107
220902151833.595,48.000,842.110
220902151834.601,49.000,842.205
220902151835.602,50.000,843.497
220902151836.620,51.020,834.848
220902151837.632,52.020,816.889
220902151838.639,53.040,810.143
220902151839.649,54.040,816.239
220902151840.659,55.060,831.936
220902151841.672,56.060,819.613
220902151842.674,57.060,837.355
220902151843.680,58.080,830.252
220902151844.689,59.080,829.931
220902151845.708,60.100,827.045
220902151846.712,61.100,827.103
220902151847.724,62.120,814.821
220902151848.745,63.140,822.619
220902151849.762,64.160,845.216
220902151850.763,65.160,839.977
220902151851.764,66.160,828.812
220902151852.766,67.160,824.591
220902151853.773,68.160,833.548
220902151854.792,69.180,812.535
220902151855.804,70.200,806.206
220902151856.821,71.220,814.045
220902151857.823,72.220,801.484
220902151858.828,73.220,805.142
220902151859.843,74.240,810.747
220902151900.855,75.240,808.766
220902151901.853,76.240,806.484
220902151902.875,77.260,818.471
220902151903.884,78.280,816.992
