datetime,sessionTime,HR
220902151746.233,0.620,69
220902151747.262,1.660,69
220902151748.261,2.660,69
220902151749.281,3.680,69
220902151750.302,4.700,69
220902151751.305,5.700,70
220902151752.308,6.700,70
220902151753.309,7.700,70
220902151754.328,8.720,71
220902151755.342,9.740,70
220902151756.359,10.760,70
220902151757.366,11.760,70
220902151758.377,12.780,71
220902151759.381,13.780,70
220902151800.387,14.780,70
220902151801.390,15.780,71
220902151802.406,16.800,71
220902151803.407,17.800,70
220902151804.428,18.820,70
220902151805.431,19.820,70
220902151806.432,20.820,70
220902151807.434,21.820,70
220902151808.436,22.840,71
220902151809.437,23.840,71
220902151810.440,24.840,71
220902151811.444,25.840,71
220902151812.443,26.840,70
220902151813.445,27.840,70
220902151814.464,28.860,69
220902151815.490,29.880,69
220902151816.503,30.900,70
220902151817.509,31.900,70
220902151818.525,32.920,69
220902151819.527,33.920,69
220902151820.529,34.920,69
220902151821.531,35.920,69
220902151822.538,36.940,69
220902151823.542,37.940,69
220902151824.561,38.960,69
220902151825.563,39.960,69
220902151826.574,40.960,69
220902151827.579,41.980,69
220902151828.583,42.980,69
220902151829.584,43.980,69
220902151830.589,44.980,70
220902151831.592,45.980,70
220902151832.593,46.980,69
220902151833.595,48.000,68
220902151834.601,49.000,68
220902151835.602,50.000,68
220902151836.620,51.020,69
220902151837.632,52.020,69
220902151838.639,53.040,69
220902151839.648,54.040,69
220902151840.658,55.060,68
220902151841.672,56.060,69
220902151842.674,57.060,68
220902151843.680,58.080,69
220902151844.689,59.080,69
220902151845.708,60.100,69
220902151846.712,61.100,69
220902151847.724,62.120,69
220902151848.745,63.140,69
220902151849.761,64.160,68
220902151850.763,65.160,68
220902151851.764,66.160,68
220902151852.766,67.160,69
220902151853.773,68.160,68
220902151854.792,69.180,69
220902151855.804,70.200,69
220902151856.821,71.220,69
220902151857.823,72.220,69
220902151858.828,73.220,69
220902151859.843,74.240,69
220902151900.854,75.240,69
220902151901.853,76.240,69
220902151902.875,77.260,69
220902151903.883,78.280,69
