datetime,sessionTime,RMSSD
220902151755.342,0.620,7.594
220902151755.342,1.660,7.594
220902151756.359,2.660,7.417
220902151757.366,3.680,6.663
220902151758.377,4.700,6.522
220902151759.381,5.700,6.469
220902151800.387,6.700,6.347
220902151801.391,7.700,6.857
220902151802.406,8.720,6.896
220902151803.407,9.740,7.677
220902151804.428,10.760,7.373
220902151805.431,11.760,7.933
220902151806.432,12.780,8.711
220902151807.434,13.780,8.501
220902151808.436,14.780,9.741
220902151809.437,15.780,9.731
220902151810.440,16.800,9.940
220902151811.444,17.800,9.643
220902151812.444,18.820,9.591
220902151813.445,19.820,9.730
220902151814.465,20.820,9.452
220902151815.491,21.820,8.518
220902151816.504,22.840,9.153
220902151817.509,23.840,7.694
220902151818.525,24.840,9.242
220902151819.527,25.840,8.590
220902151820.529,26.840,8.546
220902151821.531,27.840,7.525
220902151822.539,28.860,7.350
220902151823.543,29.880,7.106
220902151824.561,30.900,7.092
220902151825.563,31.900,5.698
220902151826.574,32.920,5.700
220902151827.579,33.920,2.476
220902151828.584,34.920,3.956
220902151829.584,35.920,3.902
220902151830.589,36.940,5.590
220902151831.592,37.940,5.412
220902151832.593,38.960,7.478
220902151833.595,39.960,8.814
220902151834.601,40.960,8.757
220902151835.603,41.980,8.765
220902151836.620,42.980,9.222
220902151837.632,43.980,10.521
220902151838.639,44.980,10.756
220902151839.649,45.980,10.166
220902151840.659,46.980,11.384
220902151841.672,48.000,10.934
220902151842.674,49.000,11.521
220902151843.681,50.000,11.762
220902151844.689,51.020,11.755
220902151845.708,52.020,11.436
220902151846.712,53.040,9.744
220902151847.724,54.040,10.327
220902151848.745,55.060,10.454
220902151849.762,56.060,11.774
220902151850.763,57.060,11.172
220902151851.764,58.080,10.183
220902151852.766,59.080,10.003
220902151853.773,60.100,10.439
220902151854.792,61.100,12.534
220902151855.804,62.120,12.710
220902151856.822,63.140,12.314
220902151857.823,64.160,12.744
220902151858.828,65.160,10.352
220902151859.843,66.160,10.373
220902151900.855,67.160,9.705
220902151901.853,68.160,9.632
220902151902.876,69.180,9.992
220902151903.884,70.200,7.142
220902151904.623,71.220,7.142
220902151904.623,72.220,7.142
220902151904.623,73.220,7.142
220902151904.623,74.240,7.142
220902151904.623,75.240,7.142
220902151904.623,76.240,7.142
220902151904.623,77.260,7.142
220902151904.623,78.280,7.142
