datetime,sessionTime,HR
220902160654.034,0.220,70
220902160655.037,1.220,70
220902160656.038,2.220,70
220902160657.049,3.240,70
220902160658.052,4.240,70
220902160659.056,5.240,71
220902160700.062,6.240,71
220902160701.064,7.240,70
220902160702.079,8.260,70
220902160703.080,9.260,69
220902160704.086,10.260,69
220902160705.087,11.280,69
220902160706.089,12.280,69
220902160707.092,13.280,69
220902160708.096,14.280,69
220902160709.099,15.280,69
220902160710.112,16.300,69
220902160711.114,17.300,70
220902160712.116,18.300,70
220902160713.119,19.300,71
220902160714.121,20.300,70
220902160715.124,21.300,70
220902160716.131,22.320,69
220902160717.133,23.320,69
220902160718.134,24.320,69
220902160719.137,25.320,70
220902160720.140,26.320,69
220902160721.153,27.340,69
220902160722.155,28.340,69
220902160723.159,29.340,69
220902160724.162,30.340,70
220902160725.162,31.340,70
220902160726.166,32.360,69
220902160727.171,33.360,69
220902160728.172,34.360,69
220902160729.174,35.360,69
2
