datetime,sessionTime,RMSSD
220902160703.081,0.220,10.293
220902160703.081,1.220,10.293
220902160704.086,2.220,9.790
220902160705.088,3.240,9.368
220902160706.089,4.240,9.645
220902160707.093,5.240,9.086
220902160708.096,6.240,7.719
220902160709.099,7.240,7.890
220902160710.112,8.260,8.030
220902160711.114,9.260,8.423
220902160712.116,10.260,8.575
220902160713.119,11.280,8.977
220902160714.121,12.280,9.581
220902160715.125,13.280,9.746
220902160716.131,14.280,10.011
220902160717.133,15.280,11.185
220902160718.134,16.300,11.133
220902160719.138,17.300,11.243
220902160720.140,18.300,11.356
220902160721.153,19.300,12.895
220902160722.155,20.300,12.612
220902160723.159,21.300,12.361
220902160724.162,22.320,12.408
220902160725.163,23.320,12.206
220902160726.166,24.320,11.451
220902160727.171,25.320,11.314
220902160728.172,26.320,10.325
220902160729.175,27.340,9.880
220902160730.178,28.340,6.914
220902160731.180,29.340,7.156
220902160732.181,30.340,6.909
220902160733.186,31.340,7.944
220902160734.188,32.360,9.429
220902160735.190,33.360,9.192
220902160736.199,34.360,12.074
220902160737.232,35.360,12.381
