datetime,sessionTime,RRi
220902160654.034,0.220,799.080
220902160655.037,1.220,809.041
220902160656.038,2.220,799.535
220902160657.049,3.240,801.256
220902160658.052,4.240,791.444
220902160659.056,5.240,776.191
220902160700.062,6.240,780.012
220902160701.064,7.240,792.724
220902160702.079,8.260,800.113
220902160703.080,9.260,814.301
220902160704.086,10.260,811.422
220902160705.087,11.280,815.619
220902160706.089,12.280,808.530
220902160707.093,13.280,809.977
220902160708.096,14.280,815.062
220902160709.099,15.280,821.283
220902160710.112,16.300,807.808
220902160711.114,17.300,797.186
220902160712.116,18.300,782.202
220902160713.119,19.300,773.731
220902160714.121,20.300,784.620
220902160715.125,21.300,793.510
220902160716.131,22.320,800.522
220902160717.133,23.320,816.328
220902160718.134,24.320,811.010
220902160719.137,25.320,796.739
220902160720.140,26.320,808.394
220902160721.153,27.340,832.069
220902160722.155,28.340,829.472
220902160723.159,29.340,821.587
220902160724.162,30.340,812.137
220902160725.163,31.340,814.245
220902160726.166,32.360,823.688
220902160727.171,33.360,824.199
220902160728.172,34.360,820.888
220902160729.174,35.360,828.296
220902160730.178,36.360,817.701
220902160731.180,37.360,823.820
220902160732.181,38.360,829.377
220902160733.186,39.360,814.290
220902160734.188,40.380,829.675
220902160735.190,41.380,836.708
220902160736.199,42.380,860.201
220902160737.231,43.400,869.053
